customer_id,uplift_score,tipo_respuesta,fecha_calculo
XFC-00038,-0.1368,Sleeping Dog,2026-04-15
XFC-00039,-0.0863,Sleeping Dog,2026-04-15
XFC-00040,0.0357,Sure Thing,2026-04-15
XFC-00041,0.0791,Persuadible,2026-04-15
XFC-00042,0.0337,Sure Thing,2026-04-15
XFC-00043,0.0107,Lost Cause,2026-04-15
XFC-00044,-0.0041,Lost Cause,2026-04-15
XFC-00045,-0.0983,Sleeping Dog,2026-04-15
XFC-00046,-0.0376,Sleeping Dog,2026-04-15
XFC-00047,-0.0169,Lost Cause,2026-04-15
XFC-00048,0.1046,Persuadible,2026-04-15
XFC-00049,0.0475,Sure Thing,2026-04-15
XFC-00050,-0.121,Sleeping Dog,2026-04-15
XFC-00051,0.0459,Sure Thing,2026-04-15
XFC-00052,-0.0108,Lost Cause,2026-04-15
XFC-00053,-0.0342,Sleeping Dog,2026-04-15
XFC-00054,0.0689,Persuadible,2026-04-15
XFC-00055,0.1025,Persuadible,2026-04-15
XFC-00056,0.0945,Persuadible,2026-04-15
XFC-00057,-0.0471,Sleeping Dog,2026-04-15
XFC-00058,-0.0047,Lost Cause,2026-04-15
XFC-00059,0.0465,Sure Thing,2026-04-15
XFC-00060,0.098,Persuadible,2026-04-15
XFC-00061,-0.0183,Lost Cause,2026-04-15
XFC-00062,0.0051,Lost Cause,2026-04-15
XFC-00063,-0.0685,Sleeping Dog,2026-04-15
XFC-00064,-0.0757,Sleeping Dog,2026-04-15
XFC-00065,0.085,Persuadible,2026-04-15
XFC-00066,0.1285,Persuadible,2026-04-15
XFC-00067,0.0142,Lost Cause,2026-04-15
XFC-00068,0.1003,Persuadible,2026-04-15
XFC-00069,0.0489,Sure Thing,2026-04-15
XFC-00070,-0.0316,Sleeping Dog,2026-04-15
XFC-00071,0.0489,Sure Thing,2026-04-15
XFC-00072,0.143,Persuadible,2026-04-15
XFC-00073,0.0171,Lost Cause,2026-04-15
XFC-00074,0.1452,Persuadible,2026-04-15
XFC-00075,-0.1896,Sleeping Dog,2026-04-15
XFC-00076,0.0858,Persuadible,2026-04-15
XFC-00077,0.027,Sure Thing,2026-04-15
XFC-00078,-0.0039,Lost Cause,2026-04-15
XFC-00079,0.0273,Sure Thing,2026-04-15
XFC-00080,-0.139,Sleeping Dog,2026-04-15
XFC-00081,0.0024,Lost Cause,2026-04-15
XFC-00082,0.0486,Sure Thing,2026-04-15
XFC-00083,0.1382,Persuadible,2026-04-15
XFC-00084,-0.0215,Lost Cause,2026-04-15
XFC-00085,-0.0447,Sleeping Dog,2026-04-15
XFC-00086,-0.0201,Lost Cause,2026-04-15
XFC-00087,0.0932,Persuadible,2026-04-15
XFC-00088,0.0463,Sure Thing,2026-04-15
XFC-00089,-0.0224,Lost Cause,2026-04-15
XFC-00090,0.0611,Persuadible,2026-04-15
XFC-00091,0.0278,Sure Thing,2026-04-15
XFC-00092,0.0975,Persuadible,2026-04-15
XFC-00093,-0.0362,Sleeping Dog,2026-04-15
XFC-00094,-0.0062,Lost Cause,2026-04-15
XFC-00095,-0.0114,Lost Cause,2026-04-15
XFC-00096,-0.0971,Sleeping Dog,2026-04-15
XFC-00097,0.0437,Sure Thing,2026-04-15
XFC-00098,0.0409,Sure Thing,2026-04-15
XFC-00099,0.0204,Sure Thing,2026-04-15
XFC-00100,0.0012,Lost Cause,2026-04-15
XFC-00101,-0.0932,Sleeping Dog,2026-04-15
XFC-00102,-0.0137,Lost Cause,2026-04-15
XFC-00103,-0.0074,Lost Cause,2026-04-15
XFC-00104,-0.0442,Sleeping Dog,2026-04-15
XFC-00105,0.0071,Lost Cause,2026-04-15
XFC-00106,0.0523,Persuadible,2026-04-15
XFC-00107,0.1709,Persuadible,2026-04-15
XFC-00108,0.034,Sure Thing,2026-04-15
XFC-00109,0.0406,Sure Thing,2026-04-15
XFC-00110,0.014,Lost Cause,2026-04-15
XFC-00111,-0.1335,Sleeping Dog,2026-04-15
XFC-00112,0.0179,Lost Cause,2026-04-15
XFC-00113,0.0248,Sure Thing,2026-04-15
XFC-00114,0.2171,Persuadible,2026-04-15
XFC-00115,0.0046,Lost Cause,2026-04-15
XFC-00116,0.0441,Sure Thing,2026-04-15
XFC-00117,0.0172,Lost Cause,2026-04-15
XFC-00118,-0.0735,Sleeping Dog,2026-04-15
XFC-00119,0.1114,Persuadible,2026-04-15
XFC-00120,0.0802,Persuadible,2026-04-15
XFC-00121,0.0833,Persuadible,2026-04-15
XFC-00122,-0.0528,Sleeping Dog,2026-04-15
XFC-00123,0.1322,Persuadible,2026-04-15
XFC-00124,-0.0921,Sleeping Dog,2026-04-15
XFC-00125,0.0669,Persuadible,2026-04-15
XFC-00126,0.1952,Persuadible,2026-04-15
XFC-00127,-0.0592,Sleeping Dog,2026-04-15
XFC-00128,-0.0253,Lost Cause,2026-04-15
XFC-00129,0.028,Sure Thing,2026-04-15
XFC-00130,-0.0203,Lost Cause,2026-04-15
XFC-00131,-0.1041,Sleeping Dog,2026-04-15
XFC-00132,0.0255,Sure Thing,2026-04-15
XFC-00133,-0.065,Sleeping Dog,2026-04-15
XFC-00134,0.0579,Persuadible,2026-04-15
XFC-00135,-0.0536,Sleeping Dog,2026-04-15
XFC-00136,0.144,Persuadible,2026-04-15
XFC-00137,-0.0427,Sleeping Dog,2026-04-15
XFC-00138,-0.0058,Lost Cause,2026-04-15
XFC-00139,0.0851,Persuadible,2026-04-15
XFC-00140,-0.0785,Sleeping Dog,2026-04-15
XFC-00141,0.0382,Sure Thing,2026-04-15
XFC-00142,0.1246,Persuadible,2026-04-15
XFC-00143,-0.1086,Sleeping Dog,2026-04-15
XFC-00144,0.0348,Sure Thing,2026-04-15
XFC-00145,0.0408,Sure Thing,2026-04-15
XFC-00146,0.0825,Persuadible,2026-04-15
XFC-00147,-0.079,Sleeping Dog,2026-04-15
XFC-00148,-0.0856,Sleeping Dog,2026-04-15
XFC-00149,0.0618,Persuadible,2026-04-15
XFC-00150,0.0438,Sure Thing,2026-04-15
XFC-00151,0.04,Sure Thing,2026-04-15
XFC-00152,0.0477,Sure Thing,2026-04-15
XFC-00153,-0.0344,Sleeping Dog,2026-04-15
XFC-00154,0.0386,Sure Thing,2026-04-15
XFC-00155,0.0434,Sure Thing,2026-04-15
XFC-00156,-0.0371,Sleeping Dog,2026-04-15
XFC-00157,0.1693,Persuadible,2026-04-15
XFC-00158,0.0579,Persuadible,2026-04-15
XFC-00159,-0.0753,Sleeping Dog,2026-04-15
XFC-00160,0.0725,Persuadible,2026-04-15
XFC-00161,-0.058,Sleeping Dog,2026-04-15
XFC-00162,0.083,Persuadible,2026-04-15
XFC-00163,0.1127,Persuadible,2026-04-15
XFC-00164,-0.0457,Sleeping Dog,2026-04-15
XFC-00165,0.0971,Persuadible,2026-04-15
XFC-00166,0.053,Persuadible,2026-04-15
XFC-00167,0.0858,Persuadible,2026-04-15
XFC-00168,0.1717,Persuadible,2026-04-15
XFC-00169,0.0004,Lost Cause,2026-04-15
XFC-00170,-0.0403,Sleeping Dog,2026-04-15
XFC-00171,-0.0512,Sleeping Dog,2026-04-15
XFC-00172,-0.0453,Sleeping Dog,2026-04-15
XFC-00173,0.0138,Lost Cause,2026-04-15
XFC-00174,0.0473,Sure Thing,2026-04-15
XFC-00175,0.0421,Sure Thing,2026-04-15
XFC-00176,0.0862,Persuadible,2026-04-15
XFC-00177,0.021,Sure Thing,2026-04-15
XFC-00178,0.1363,Persuadible,2026-04-15
XFC-00179,-0.0012,Lost Cause,2026-04-15
XFC-00180,0.2376,Persuadible,2026-04-15
XFC-00181,0.0701,Persuadible,2026-04-15
XFC-00182,-0.0486,Sleeping Dog,2026-04-15
XFC-00183,-0.0657,Sleeping Dog,2026-04-15
XFC-00184,0.0586,Persuadible,2026-04-15
XFC-00185,0.0021,Lost Cause,2026-04-15
XFC-00186,0.0771,Persuadible,2026-04-15
XFC-00187,0.0579,Persuadible,2026-04-15
XFC-00188,0.0142,Lost Cause,2026-04-15
XFC-00189,-0.0477,Sleeping Dog,2026-04-15
XFC-00190,-0.1012,Sleeping Dog,2026-04-15
XFC-00191,-0.0157,Lost Cause,2026-04-15
XFC-00192,0.0885,Persuadible,2026-04-15
XFC-00193,0.0371,Sure Thing,2026-04-15
XFC-00194,-0.0797,Sleeping Dog,2026-04-15
XFC-00195,0.0339,Sure Thing,2026-04-15
XFC-00196,0.0508,Persuadible,2026-04-15
XFC-00197,-0.0507,Sleeping Dog,2026-04-15
XFC-00198,0.0323,Sure Thing,2026-04-15
XFC-00199,0.0247,Sure Thing,2026-04-15
XFC-00200,-0.0714,Sleeping Dog,2026-04-15
XFC-00201,0.0486,Sure Thing,2026-04-15
XFC-00202,0.0649,Persuadible,2026-04-15
XFC-00203,0.1066,Persuadible,2026-04-15
XFC-00204,0.1043,Persuadible,2026-04-15
XFC-00205,-0.0902,Sleeping Dog,2026-04-15
XFC-00206,-0.055,Sleeping Dog,2026-04-15
XFC-00207,0.0612,Persuadible,2026-04-15
XFC-00208,0.0611,Persuadible,2026-04-15
XFC-00209,0.0612,Persuadible,2026-04-15
XFC-00210,0.3282,Persuadible,2026-04-15
XFC-00211,0.0657,Persuadible,2026-04-15
XFC-00212,0.1108,Persuadible,2026-04-15
XFC-00213,0.0963,Persuadible,2026-04-15
XFC-00214,0.0721,Persuadible,2026-04-15
XFC-00215,-0.0052,Lost Cause,2026-04-15
XFC-00216,0.0807,Persuadible,2026-04-15
XFC-00217,-0.0418,Sleeping Dog,2026-04-15
XFC-00218,0.0011,Lost Cause,2026-04-15
XFC-00219,-0.0188,Lost Cause,2026-04-15
XFC-00220,0.0265,Sure Thing,2026-04-15
XFC-00221,0.2052,Persuadible,2026-04-15
XFC-00222,-0.1294,Sleeping Dog,2026-04-15
XFC-00223,0.0749,Persuadible,2026-04-15
XFC-00224,-0.109,Sleeping Dog,2026-04-15
XFC-00225,-0.0178,Lost Cause,2026-04-15
XFC-00226,0.1071,Persuadible,2026-04-15
XFC-00227,0.0251,Sure Thing,2026-04-15
XFC-00228,-0.0662,Sleeping Dog,2026-04-15
XFC-00229,-0.0372,Sleeping Dog,2026-04-15
XFC-00230,0.0744,Persuadible,2026-04-15
XFC-00231,-0.0384,Sleeping Dog,2026-04-15
XFC-00232,0.0373,Sure Thing,2026-04-15
XFC-00233,0.0236,Sure Thing,2026-04-15
XFC-00234,-0.0321,Sleeping Dog,2026-04-15
XFC-00235,0.1915,Persuadible,2026-04-15
XFC-00236,0.0707,Persuadible,2026-04-15
XFC-00237,-0.142,Sleeping Dog,2026-04-15
XFC-00238,0.0349,Sure Thing,2026-04-15
XFC-00239,-0.0329,Sleeping Dog,2026-04-15
XFC-00240,0.0882,Persuadible,2026-04-15
XFC-00241,-0.0434,Sleeping Dog,2026-04-15
XFC-00242,0.0108,Lost Cause,2026-04-15
XFC-00243,0.0604,Persuadible,2026-04-15
XFC-00244,0.0893,Persuadible,2026-04-15
XFC-00245,-0.076,Sleeping Dog,2026-04-15
XFC-00246,-0.0068,Lost Cause,2026-04-15
XFC-00247,-0.018,Lost Cause,2026-04-15
XFC-00248,-0.0323,Sleeping Dog,2026-04-15
XFC-00249,0.1612,Persuadible,2026-04-15
XFC-00250,0.0524,Persuadible,2026-04-15
XFC-00251,-0.0809,Sleeping Dog,2026-04-15
XFC-00252,0.0934,Persuadible,2026-04-15
XFC-00253,0.1898,Persuadible,2026-04-15
XFC-00254,0.1026,Persuadible,2026-04-15
XFC-00255,-0.1015,Sleeping Dog,2026-04-15
XFC-00256,-0.0187,Lost Cause,2026-04-15
XFC-00257,0.1214,Persuadible,2026-04-15
XFC-00258,-0.0366,Sleeping Dog,2026-04-15
XFC-00259,0.0555,Persuadible,2026-04-15
XFC-00260,0.082,Persuadible,2026-04-15
XFC-00261,-0.0542,Sleeping Dog,2026-04-15
XFC-00262,0.0152,Lost Cause,2026-04-15
XFC-00263,-0.2393,Sleeping Dog,2026-04-15
XFC-00264,-0.062,Sleeping Dog,2026-04-15
XFC-00265,-0.0002,Lost Cause,2026-04-15
XFC-00266,-0.0798,Sleeping Dog,2026-04-15
XFC-00267,0.1506,Persuadible,2026-04-15
XFC-00268,-0.0944,Sleeping Dog,2026-04-15
XFC-00269,-0.0152,Lost Cause,2026-04-15
XFC-00270,0.0305,Sure Thing,2026-04-15
XFC-00271,0.1353,Persuadible,2026-04-15
XFC-00272,-0.0949,Sleeping Dog,2026-04-15
XFC-00273,0.1131,Persuadible,2026-04-15
XFC-00274,0.0208,Sure Thing,2026-04-15
XFC-00275,-0.0585,Sleeping Dog,2026-04-15
XFC-00276,0.057,Persuadible,2026-04-15
XFC-00277,0.0359,Sure Thing,2026-04-15
XFC-00278,-0.028,Lost Cause,2026-04-15
XFC-00279,0.0256,Sure Thing,2026-04-15
XFC-00280,-0.0108,Lost Cause,2026-04-15
XFC-00281,0.0291,Sure Thing,2026-04-15
XFC-00282,0.073,Persuadible,2026-04-15
XFC-00283,0.1469,Persuadible,2026-04-15
XFC-00284,-0.079,Sleeping Dog,2026-04-15
XFC-00285,0.1906,Persuadible,2026-04-15
XFC-00286,-0.1362,Sleeping Dog,2026-04-15
XFC-00287,0.0079,Lost Cause,2026-04-15
XFC-00288,0.0671,Persuadible,2026-04-15
XFC-00289,0.0425,Sure Thing,2026-04-15
XFC-00290,-0.0298,Lost Cause,2026-04-15
XFC-00291,0.0034,Lost Cause,2026-04-15
XFC-00292,-0.0194,Lost Cause,2026-04-15
XFC-00293,-0.0271,Lost Cause,2026-04-15
XFC-00294,0.088,Persuadible,2026-04-15
XFC-00295,0.0486,Sure Thing,2026-04-15
XFC-00296,-0.0354,Sleeping Dog,2026-04-15
XFC-00297,0.092,Persuadible,2026-04-15
XFC-00298,0.0446,Sure Thing,2026-04-15
XFC-00299,0.085,Persuadible,2026-04-15
XFC-00300,0.0704,Persuadible,2026-04-15
XFC-00301,-0.0463,Sleeping Dog,2026-04-15
XFC-00302,-0.0248,Lost Cause,2026-04-15
XFC-00303,0.0798,Persuadible,2026-04-15
XFC-00304,0.0688,Persuadible,2026-04-15
XFC-00305,0.0183,Lost Cause,2026-04-15
XFC-00306,0.0294,Sure Thing,2026-04-15
XFC-00307,0.1222,Persuadible,2026-04-15
XFC-00308,-0.0273,Lost Cause,2026-04-15
XFC-00309,0.0638,Persuadible,2026-04-15
XFC-00310,0.0038,Lost Cause,2026-04-15
XFC-00311,0.0026,Lost Cause,2026-04-15
XFC-00312,0.1079,Persuadible,2026-04-15
XFC-00313,0.086,Persuadible,2026-04-15
XFC-00314,0.0851,Persuadible,2026-04-15
XFC-00315,0.1244,Persuadible,2026-04-15
XFC-00316,0.0217,Sure Thing,2026-04-15
XFC-00317,0.0746,Persuadible,2026-04-15
XFC-00318,-0.0048,Lost Cause,2026-04-15
XFC-00319,0.0459,Sure Thing,2026-04-15
XFC-00320,0.0096,Lost Cause,2026-04-15
XFC-00321,0.0278,Sure Thing,2026-04-15
XFC-00322,0.0676,Persuadible,2026-04-15
XFC-00323,-0.0455,Sleeping Dog,2026-04-15
XFC-00324,0.1874,Persuadible,2026-04-15
XFC-00325,-0.0605,Sleeping Dog,2026-04-15
XFC-00326,-0.0771,Sleeping Dog,2026-04-15
XFC-00327,0.1126,Persuadible,2026-04-15
XFC-00328,0.0833,Persuadible,2026-04-15
XFC-00329,0.0699,Persuadible,2026-04-15
XFC-00330,0.0703,Persuadible,2026-04-15
XFC-00331,0.019,Lost Cause,2026-04-15
XFC-00332,-0.0518,Sleeping Dog,2026-04-15
XFC-00333,0.0261,Sure Thing,2026-04-15
XFC-00334,-0.0342,Sleeping Dog,2026-04-15
XFC-00335,0.098,Persuadible,2026-04-15
XFC-00336,0.0082,Lost Cause,2026-04-15
XFC-00337,-0.046,Sleeping Dog,2026-04-15
XFC-00338,-0.0057,Lost Cause,2026-04-15
XFC-00339,0.053,Persuadible,2026-04-15
XFC-00340,-0.0251,Lost Cause,2026-04-15
XFC-00341,-0.0458,Sleeping Dog,2026-04-15
XFC-00342,0.0395,Sure Thing,2026-04-15
XFC-00343,0.0396,Sure Thing,2026-04-15
XFC-00344,-0.0206,Lost Cause,2026-04-15
XFC-00345,-0.0177,Lost Cause,2026-04-15
XFC-00346,0.0386,Sure Thing,2026-04-15
XFC-00347,-0.0958,Sleeping Dog,2026-04-15
XFC-00348,-0.0926,Sleeping Dog,2026-04-15
XFC-00349,-0.0375,Sleeping Dog,2026-04-15
XFC-00350,0.0029,Lost Cause,2026-04-15
XFC-00351,0.0449,Sure Thing,2026-04-15
XFC-00352,0.138,Persuadible,2026-04-15
XFC-00353,0.0886,Persuadible,2026-04-15
XFC-00354,0.0072,Lost Cause,2026-04-15
XFC-00355,0.0185,Lost Cause,2026-04-15
XFC-00356,-0.0602,Sleeping Dog,2026-04-15
XFC-00357,0.0185,Lost Cause,2026-04-15
XFC-00358,-0.0031,Lost Cause,2026-04-15
XFC-00359,0.0458,Sure Thing,2026-04-15
XFC-00360,-0.0462,Sleeping Dog,2026-04-15
XFC-00361,0.0615,Persuadible,2026-04-15
XFC-00362,0.1426,Persuadible,2026-04-15
XFC-00363,0.0113,Lost Cause,2026-04-15
XFC-00364,0.0521,Persuadible,2026-04-15
XFC-00365,0.0752,Persuadible,2026-04-15
XFC-00366,-0.0121,Lost Cause,2026-04-15
XFC-00367,0.0379,Sure Thing,2026-04-15
XFC-00368,0.021,Sure Thing,2026-04-15
XFC-00369,0.0278,Sure Thing,2026-04-15
XFC-00370,-0.0418,Sleeping Dog,2026-04-15
XFC-00371,0.022,Sure Thing,2026-04-15
XFC-00372,0.0598,Persuadible,2026-04-15
XFC-00373,0.1361,Persuadible,2026-04-15
XFC-00374,0.0967,Persuadible,2026-04-15
XFC-00375,0.1923,Persuadible,2026-04-15
XFC-00376,-0.0414,Sleeping Dog,2026-04-15
XFC-00377,0.0898,Persuadible,2026-04-15
XFC-00378,0.0347,Sure Thing,2026-04-15
XFC-00379,0.1952,Persuadible,2026-04-15
XFC-00380,-0.0447,Sleeping Dog,2026-04-15
XFC-00381,-0.0472,Sleeping Dog,2026-04-15
XFC-00382,-0.028,Lost Cause,2026-04-15
XFC-00383,-0.1499,Sleeping Dog,2026-04-15
XFC-00384,-0.0221,Lost Cause,2026-04-15
XFC-00385,-0.0407,Sleeping Dog,2026-04-15
XFC-00386,0.032,Sure Thing,2026-04-15
XFC-00387,0.0473,Sure Thing,2026-04-15
XFC-00388,0.1701,Persuadible,2026-04-15
XFC-00389,0.096,Persuadible,2026-04-15
XFC-00390,-0.0262,Lost Cause,2026-04-15
XFC-00391,-0.0519,Sleeping Dog,2026-04-15
XFC-00392,0.0594,Persuadible,2026-04-15
XFC-00393,-0.0856,Sleeping Dog,2026-04-15
XFC-00394,0.1665,Persuadible,2026-04-15
XFC-00395,0.1144,Persuadible,2026-04-15
XFC-00396,-0.0175,Lost Cause,2026-04-15
XFC-00397,-0.1171,Sleeping Dog,2026-04-15
XFC-00398,0.1283,Persuadible,2026-04-15
XFC-00399,0.0108,Lost Cause,2026-04-15
XFC-00400,0.119,Persuadible,2026-04-15
XFC-00401,-0.1076,Sleeping Dog,2026-04-15
XFC-00402,-0.028,Lost Cause,2026-04-15
XFC-00403,0.0204,Sure Thing,2026-04-15
XFC-00404,0.0238,Sure Thing,2026-04-15
XFC-00405,-0.016,Lost Cause,2026-04-15
XFC-00406,0.0698,Persuadible,2026-04-15
XFC-00407,-0.0654,Sleeping Dog,2026-04-15
XFC-00408,0.0086,Lost Cause,2026-04-15
XFC-00409,0.0296,Sure Thing,2026-04-15
XFC-00410,0.0612,Persuadible,2026-04-15
XFC-00411,0.0769,Persuadible,2026-04-15
XFC-00412,-0.07,Sleeping Dog,2026-04-15
XFC-00413,-0.1027,Sleeping Dog,2026-04-15
XFC-00414,0.1222,Persuadible,2026-04-15
XFC-00415,0.0466,Sure Thing,2026-04-15
XFC-00416,-0.0399,Sleeping Dog,2026-04-15
XFC-00417,0.1441,Persuadible,2026-04-15
XFC-00418,0.0293,Sure Thing,2026-04-15
XFC-00419,0.1143,Persuadible,2026-04-15
XFC-00420,0.0254,Sure Thing,2026-04-15
XFC-00421,0.1849,Persuadible,2026-04-15
XFC-00422,0.1604,Persuadible,2026-04-15
XFC-00423,0.0001,Lost Cause,2026-04-15
XFC-00424,0.0977,Persuadible,2026-04-15
XFC-00425,0.0716,Persuadible,2026-04-15
XFC-00426,0.1295,Persuadible,2026-04-15
XFC-00427,-0.0572,Sleeping Dog,2026-04-15
XFC-00428,0.0749,Persuadible,2026-04-15
XFC-00429,0.1047,Persuadible,2026-04-15
XFC-00430,-0.1207,Sleeping Dog,2026-04-15
XFC-00431,-0.0747,Sleeping Dog,2026-04-15
XFC-00432,-0.1431,Sleeping Dog,2026-04-15
XFC-00433,-0.0016,Lost Cause,2026-04-15
XFC-00434,0.0774,Persuadible,2026-04-15
XFC-00435,0.1402,Persuadible,2026-04-15
XFC-00436,0.0259,Sure Thing,2026-04-15
XFC-00437,0.1503,Persuadible,2026-04-15
XFC-00438,-0.0904,Sleeping Dog,2026-04-15
XFC-00439,-0.1163,Sleeping Dog,2026-04-15
XFC-00440,0.0156,Lost Cause,2026-04-15
XFC-00441,0.0507,Persuadible,2026-04-15
XFC-00442,0.0174,Lost Cause,2026-04-15
XFC-00443,-0.1454,Sleeping Dog,2026-04-15
XFC-00444,0.0129,Lost Cause,2026-04-15
XFC-00445,-0.0844,Sleeping Dog,2026-04-15
XFC-00446,0.0736,Persuadible,2026-04-15
XFC-00447,0.0493,Sure Thing,2026-04-15
XFC-00448,-0.0552,Sleeping Dog,2026-04-15
XFC-00449,-0.0211,Lost Cause,2026-04-15
XFC-00450,-0.0647,Sleeping Dog,2026-04-15
XFC-00451,0.015,Lost Cause,2026-04-15
XFC-00452,0.0964,Persuadible,2026-04-15
XFC-00453,-0.0589,Sleeping Dog,2026-04-15
XFC-00454,0.0603,Persuadible,2026-04-15
XFC-00455,-0.0224,Lost Cause,2026-04-15
XFC-00456,-0.0434,Sleeping Dog,2026-04-15
XFC-00457,0.0114,Lost Cause,2026-04-15
XFC-00458,-0.0628,Sleeping Dog,2026-04-15
XFC-00459,-0.0243,Lost Cause,2026-04-15
XFC-00460,-0.0758,Sleeping Dog,2026-04-15
XFC-00461,0.1772,Persuadible,2026-04-15
XFC-00462,0.0228,Sure Thing,2026-04-15
XFC-00463,-0.036,Sleeping Dog,2026-04-15
XFC-00464,0.0371,Sure Thing,2026-04-15
XFC-00465,0.011,Lost Cause,2026-04-15
XFC-00466,0.0023,Lost Cause,2026-04-15
XFC-00467,0.0691,Persuadible,2026-04-15
XFC-00468,0.0806,Persuadible,2026-04-15
XFC-00469,-0.0224,Lost Cause,2026-04-15
XFC-00470,-0.0261,Lost Cause,2026-04-15
XFC-00471,-0.002,Lost Cause,2026-04-15
XFC-00472,-0.1642,Sleeping Dog,2026-04-15
XFC-00473,-0.1012,Sleeping Dog,2026-04-15
XFC-00474,0.1293,Persuadible,2026-04-15
XFC-00475,0.1516,Persuadible,2026-04-15
XFC-00476,0.0001,Lost Cause,2026-04-15
XFC-00477,0.0661,Persuadible,2026-04-15
XFC-00478,0.0449,Sure Thing,2026-04-15
XFC-00479,0.2663,Persuadible,2026-04-15
XFC-00480,0.1096,Persuadible,2026-04-15
XFC-00481,0.0098,Lost Cause,2026-04-15
XFC-00482,-0.0564,Sleeping Dog,2026-04-15
XFC-00483,-0.1085,Sleeping Dog,2026-04-15
XFC-00484,0.0363,Sure Thing,2026-04-15
XFC-00485,-0.0405,Sleeping Dog,2026-04-15
XFC-00486,-0.0938,Sleeping Dog,2026-04-15
XFC-00487,-0.0317,Sleeping Dog,2026-04-15
XFC-00488,-0.0665,Sleeping Dog,2026-04-15
XFC-00489,0.155,Persuadible,2026-04-15
XFC-00490,0.0905,Persuadible,2026-04-15
XFC-00491,0.0194,Lost Cause,2026-04-15
XFC-00492,0.1384,Persuadible,2026-04-15
XFC-00493,0.0262,Sure Thing,2026-04-15
XFC-00494,-0.0489,Sleeping Dog,2026-04-15
XFC-00495,0.1418,Persuadible,2026-04-15
XFC-00496,0.0631,Persuadible,2026-04-15
XFC-00497,-0.063,Sleeping Dog,2026-04-15
XFC-00498,0.0048,Lost Cause,2026-04-15
XFC-00499,-0.05,Sleeping Dog,2026-04-15
XFC-00500,-0.0906,Sleeping Dog,2026-04-15
XFC-00501,0.0941,Persuadible,2026-04-15
XFC-00502,0.1728,Persuadible,2026-04-15
XFC-00503,-0.0919,Sleeping Dog,2026-04-15
XFC-00504,0.065,Persuadible,2026-04-15
XFC-00505,-0.0321,Sleeping Dog,2026-04-15
XFC-00506,-0.019,Lost Cause,2026-04-15
XFC-00507,-0.0274,Lost Cause,2026-04-15
XFC-00508,-0.0491,Sleeping Dog,2026-04-15
XFC-00509,0.0239,Sure Thing,2026-04-15
XFC-00510,-0.0465,Sleeping Dog,2026-04-15
XFC-00511,0.0416,Sure Thing,2026-04-15
XFC-00512,0.016,Lost Cause,2026-04-15
XFC-00513,0.0009,Lost Cause,2026-04-15
XFC-00514,-0.0526,Sleeping Dog,2026-04-15
XFC-00515,-0.0261,Lost Cause,2026-04-15
XFC-00516,0.0804,Persuadible,2026-04-15
XFC-00517,0.0601,Persuadible,2026-04-15
XFC-00518,-0.0582,Sleeping Dog,2026-04-15
XFC-00519,0.0279,Sure Thing,2026-04-15
XFC-00520,0.0801,Persuadible,2026-04-15
XFC-00521,-0.1136,Sleeping Dog,2026-04-15
XFC-00522,0.0635,Persuadible,2026-04-15
XFC-00523,-0.033,Sleeping Dog,2026-04-15
XFC-00524,0.0656,Persuadible,2026-04-15
XFC-00525,-0.0411,Sleeping Dog,2026-04-15
XFC-00526,-0.1244,Sleeping Dog,2026-04-15
