customer_id,cluster,segmento,fecha_segmentacion
XFC-00167,2,Esporádico / Inactivo,2026-04-15
XFC-00168,3,Frecuente Digital,2026-04-15
XFC-00169,1,Estándar Presencial,2026-04-15
XFC-00170,3,Frecuente Digital,2026-04-15
XFC-00171,2,Esporádico / Inactivo,2026-04-15
XFC-00172,0,Crónico Alto Valor,2026-04-15
XFC-00173,1,Estándar Presencial,2026-04-15
XFC-00174,2,Esporádico / Inactivo,2026-04-15
XFC-00175,3,Frecuente Digital,2026-04-15
XFC-00176,4,Crónico en Riesgo,2026-04-15
XFC-00177,0,Crónico Alto Valor,2026-04-15
XFC-00178,4,Crónico en Riesgo,2026-04-15
XFC-00179,3,Frecuente Digital,2026-04-15
XFC-00180,3,Frecuente Digital,2026-04-15
XFC-00181,0,Crónico Alto Valor,2026-04-15
XFC-00182,4,Crónico en Riesgo,2026-04-15
XFC-00183,3,Frecuente Digital,2026-04-15
XFC-00184,1,Estándar Presencial,2026-04-15
XFC-00185,1,Estándar Presencial,2026-04-15
XFC-00186,0,Crónico Alto Valor,2026-04-15
XFC-00187,0,Crónico Alto Valor,2026-04-15
XFC-00188,0,Crónico Alto Valor,2026-04-15
XFC-00189,4,Crónico en Riesgo,2026-04-15
XFC-00190,1,Estándar Presencial,2026-04-15
XFC-00191,4,Crónico en Riesgo,2026-04-15
XFC-00192,4,Crónico en Riesgo,2026-04-15
XFC-00193,1,Estándar Presencial,2026-04-15
XFC-00194,2,Esporádico / Inactivo,2026-04-15
XFC-00195,1,Estándar Presencial,2026-04-15
XFC-00196,2,Esporádico / Inactivo,2026-04-15
XFC-00197,1,Estándar Presencial,2026-04-15
XFC-00198,3,Frecuente Digital,2026-04-15
XFC-00199,4,Crónico en Riesgo,2026-04-15
XFC-00200,1,Estándar Presencial,2026-04-15
XFC-00201,1,Estándar Presencial,2026-04-15
XFC-00202,2,Esporádico / Inactivo,2026-04-15
XFC-00203,4,Crónico en Riesgo,2026-04-15
XFC-00204,1,Estándar Presencial,2026-04-15
XFC-00205,4,Crónico en Riesgo,2026-04-15
XFC-00206,0,Crónico Alto Valor,2026-04-15
XFC-00207,4,Crónico en Riesgo,2026-04-15
XFC-00208,3,Frecuente Digital,2026-04-15
XFC-00209,0,Crónico Alto Valor,2026-04-15
XFC-00210,1,Estándar Presencial,2026-04-15
XFC-00211,1,Estándar Presencial,2026-04-15
XFC-00212,1,Estándar Presencial,2026-04-15
XFC-00213,4,Crónico en Riesgo,2026-04-15
XFC-00214,1,Estándar Presencial,2026-04-15
XFC-00215,2,Esporádico / Inactivo,2026-04-15
XFC-00216,0,Crónico Alto Valor,2026-04-15
XFC-00217,1,Estándar Presencial,2026-04-15
XFC-00218,0,Crónico Alto Valor,2026-04-15
XFC-00219,1,Estándar Presencial,2026-04-15
XFC-00220,3,Frecuente Digital,2026-04-15
XFC-00221,1,Estándar Presencial,2026-04-15
XFC-00222,1,Estándar Presencial,2026-04-15
XFC-00223,2,Esporádico / Inactivo,2026-04-15
XFC-00224,0,Crónico Alto Valor,2026-04-15
XFC-00225,4,Crónico en Riesgo,2026-04-15
XFC-00226,0,Crónico Alto Valor,2026-04-15
XFC-00227,4,Crónico en Riesgo,2026-04-15
XFC-00228,2,Esporádico / Inactivo,2026-04-15
XFC-00229,1,Estándar Presencial,2026-04-15
XFC-00230,2,Esporádico / Inactivo,2026-04-15
XFC-00231,2,Esporádico / Inactivo,2026-04-15
XFC-00232,1,Estándar Presencial,2026-04-15
XFC-00233,4,Crónico en Riesgo,2026-04-15
XFC-00234,1,Estándar Presencial,2026-04-15
XFC-00235,1,Estándar Presencial,2026-04-15
XFC-00236,1,Estándar Presencial,2026-04-15
XFC-00237,3,Frecuente Digital,2026-04-15
XFC-00238,1,Estándar Presencial,2026-04-15
XFC-00239,2,Esporádico / Inactivo,2026-04-15
XFC-00240,1,Estándar Presencial,2026-04-15
XFC-00241,3,Frecuente Digital,2026-04-15
XFC-00242,2,Esporádico / Inactivo,2026-04-15
XFC-00243,3,Frecuente Digital,2026-04-15
XFC-00244,2,Esporádico / Inactivo,2026-04-15
XFC-00245,1,Estándar Presencial,2026-04-15
XFC-00246,1,Estándar Presencial,2026-04-15
XFC-00247,4,Crónico en Riesgo,2026-04-15
XFC-00248,2,Esporádico / Inactivo,2026-04-15
XFC-00249,1,Estándar Presencial,2026-04-15
XFC-00250,1,Estándar Presencial,2026-04-15
XFC-00251,2,Esporádico / Inactivo,2026-04-15
XFC-00252,3,Frecuente Digital,2026-04-15
XFC-00253,1,Estándar Presencial,2026-04-15
XFC-00254,4,Crónico en Riesgo,2026-04-15
XFC-00255,4,Crónico en Riesgo,2026-04-15
XFC-00256,3,Frecuente Digital,2026-04-15
XFC-00257,3,Frecuente Digital,2026-04-15
XFC-00258,0,Crónico Alto Valor,2026-04-15
XFC-00259,1,Estándar Presencial,2026-04-15
XFC-00260,1,Estándar Presencial,2026-04-15
XFC-00261,2,Esporádico / Inactivo,2026-04-15
XFC-00262,0,Crónico Alto Valor,2026-04-15
XFC-00263,3,Frecuente Digital,2026-04-15
XFC-00264,2,Esporádico / Inactivo,2026-04-15
XFC-00265,1,Estándar Presencial,2026-04-15
XFC-00266,0,Crónico Alto Valor,2026-04-15
XFC-00267,3,Frecuente Digital,2026-04-15
XFC-00268,1,Estándar Presencial,2026-04-15
XFC-00269,1,Estándar Presencial,2026-04-15
XFC-00270,0,Crónico Alto Valor,2026-04-15
XFC-00271,3,Frecuente Digital,2026-04-15
XFC-00272,0,Crónico Alto Valor,2026-04-15
XFC-00273,4,Crónico en Riesgo,2026-04-15
XFC-00274,2,Esporádico / Inactivo,2026-04-15
XFC-00275,0,Crónico Alto Valor,2026-04-15
XFC-00276,1,Estándar Presencial,2026-04-15
XFC-00277,2,Esporádico / Inactivo,2026-04-15
XFC-00278,1,Estándar Presencial,2026-04-15
XFC-00279,2,Esporádico / Inactivo,2026-04-15
XFC-00280,1,Estándar Presencial,2026-04-15
XFC-00281,1,Estándar Presencial,2026-04-15
XFC-00282,1,Estándar Presencial,2026-04-15
XFC-00283,4,Crónico en Riesgo,2026-04-15
XFC-00284,2,Esporádico / Inactivo,2026-04-15
XFC-00285,1,Estándar Presencial,2026-04-15
XFC-00286,1,Estándar Presencial,2026-04-15
XFC-00287,3,Frecuente Digital,2026-04-15
XFC-00288,0,Crónico Alto Valor,2026-04-15
XFC-00289,1,Estándar Presencial,2026-04-15
XFC-00290,1,Estándar Presencial,2026-04-15
XFC-00291,1,Estándar Presencial,2026-04-15
XFC-00292,0,Crónico Alto Valor,2026-04-15
XFC-00293,1,Estándar Presencial,2026-04-15
XFC-00294,1,Estándar Presencial,2026-04-15
XFC-00295,1,Estándar Presencial,2026-04-15
XFC-00296,1,Estándar Presencial,2026-04-15
XFC-00297,2,Esporádico / Inactivo,2026-04-15
XFC-00298,1,Estándar Presencial,2026-04-15
XFC-00299,0,Crónico Alto Valor,2026-04-15
XFC-00300,2,Esporádico / Inactivo,2026-04-15
XFC-00301,2,Esporádico / Inactivo,2026-04-15
XFC-00302,4,Crónico en Riesgo,2026-04-15
XFC-00303,1,Estándar Presencial,2026-04-15
XFC-00304,2,Esporádico / Inactivo,2026-04-15
XFC-00305,2,Esporádico / Inactivo,2026-04-15
XFC-00306,0,Crónico Alto Valor,2026-04-15
XFC-00307,3,Frecuente Digital,2026-04-15
XFC-00308,1,Estándar Presencial,2026-04-15
XFC-00309,1,Estándar Presencial,2026-04-15
XFC-00310,1,Estándar Presencial,2026-04-15
XFC-00311,1,Estándar Presencial,2026-04-15
XFC-00312,3,Frecuente Digital,2026-04-15
XFC-00313,1,Estándar Presencial,2026-04-15
XFC-00314,0,Crónico Alto Valor,2026-04-15
XFC-00315,1,Estándar Presencial,2026-04-15
XFC-00316,2,Esporádico / Inactivo,2026-04-15
XFC-00317,2,Esporádico / Inactivo,2026-04-15
XFC-00318,2,Esporádico / Inactivo,2026-04-15
XFC-00319,2,Esporádico / Inactivo,2026-04-15
XFC-00320,1,Estándar Presencial,2026-04-15
XFC-00321,2,Esporádico / Inactivo,2026-04-15
XFC-00322,1,Estándar Presencial,2026-04-15
XFC-00323,1,Estándar Presencial,2026-04-15
XFC-00324,2,Esporádico / Inactivo,2026-04-15
XFC-00325,3,Frecuente Digital,2026-04-15
XFC-00326,1,Estándar Presencial,2026-04-15
XFC-00327,1,Estándar Presencial,2026-04-15
XFC-00328,2,Esporádico / Inactivo,2026-04-15
XFC-00329,4,Crónico en Riesgo,2026-04-15
XFC-00330,1,Estándar Presencial,2026-04-15
XFC-00331,1,Estándar Presencial,2026-04-15
XFC-00332,2,Esporádico / Inactivo,2026-04-15
XFC-00333,1,Estándar Presencial,2026-04-15
XFC-00334,1,Estándar Presencial,2026-04-15
XFC-00335,4,Crónico en Riesgo,2026-04-15
XFC-00336,4,Crónico en Riesgo,2026-04-15
XFC-00337,2,Esporádico / Inactivo,2026-04-15
XFC-00338,1,Estándar Presencial,2026-04-15
XFC-00339,2,Esporádico / Inactivo,2026-04-15
XFC-00340,3,Frecuente Digital,2026-04-15
XFC-00341,3,Frecuente Digital,2026-04-15
XFC-00342,4,Crónico en Riesgo,2026-04-15
XFC-00343,3,Frecuente Digital,2026-04-15
XFC-00344,1,Estándar Presencial,2026-04-15
XFC-00345,0,Crónico Alto Valor,2026-04-15
XFC-00346,2,Esporádico / Inactivo,2026-04-15
XFC-00347,4,Crónico en Riesgo,2026-04-15
XFC-00348,4,Crónico en Riesgo,2026-04-15
XFC-00349,4,Crónico en Riesgo,2026-04-15
XFC-00350,1,Estándar Presencial,2026-04-15
XFC-00351,3,Frecuente Digital,2026-04-15
XFC-00352,1,Estándar Presencial,2026-04-15
XFC-00353,1,Estándar Presencial,2026-04-15
XFC-00354,2,Esporádico / Inactivo,2026-04-15
XFC-00355,1,Estándar Presencial,2026-04-15
XFC-00356,3,Frecuente Digital,2026-04-15
XFC-00357,2,Esporádico / Inactivo,2026-04-15
XFC-00358,1,Estándar Presencial,2026-04-15
XFC-00359,1,Estándar Presencial,2026-04-15
XFC-00360,4,Crónico en Riesgo,2026-04-15
XFC-00361,2,Esporádico / Inactivo,2026-04-15
XFC-00362,1,Estándar Presencial,2026-04-15
XFC-00363,1,Estándar Presencial,2026-04-15
XFC-00364,2,Esporádico / Inactivo,2026-04-15
XFC-00365,2,Esporádico / Inactivo,2026-04-15
XFC-00366,2,Esporádico / Inactivo,2026-04-15
XFC-00367,4,Crónico en Riesgo,2026-04-15
XFC-00368,4,Crónico en Riesgo,2026-04-15
XFC-00369,2,Esporádico / Inactivo,2026-04-15
XFC-00370,1,Estándar Presencial,2026-04-15
XFC-00371,1,Estándar Presencial,2026-04-15
XFC-00372,2,Esporádico / Inactivo,2026-04-15
XFC-00373,1,Estándar Presencial,2026-04-15
XFC-00374,4,Crónico en Riesgo,2026-04-15
XFC-00375,1,Estándar Presencial,2026-04-15
XFC-00376,1,Estándar Presencial,2026-04-15
XFC-00377,3,Frecuente Digital,2026-04-15
XFC-00378,0,Crónico Alto Valor,2026-04-15
XFC-00379,0,Crónico Alto Valor,2026-04-15
XFC-00380,3,Frecuente Digital,2026-04-15
XFC-00381,4,Crónico en Riesgo,2026-04-15
XFC-00382,0,Crónico Alto Valor,2026-04-15
XFC-00383,0,Crónico Alto Valor,2026-04-15
XFC-00384,1,Estándar Presencial,2026-04-15
XFC-00385,1,Estándar Presencial,2026-04-15
XFC-00386,1,Estándar Presencial,2026-04-15
XFC-00387,1,Estándar Presencial,2026-04-15
XFC-00388,1,Estándar Presencial,2026-04-15
XFC-00389,0,Crónico Alto Valor,2026-04-15
XFC-00390,2,Esporádico / Inactivo,2026-04-15
XFC-00391,1,Estándar Presencial,2026-04-15
XFC-00392,1,Estándar Presencial,2026-04-15
XFC-00393,2,Esporádico / Inactivo,2026-04-15
XFC-00394,1,Estándar Presencial,2026-04-15
XFC-00395,0,Crónico Alto Valor,2026-04-15
XFC-00396,2,Esporádico / Inactivo,2026-04-15
XFC-00397,2,Esporádico / Inactivo,2026-04-15
XFC-00398,1,Estándar Presencial,2026-04-15
XFC-00399,1,Estándar Presencial,2026-04-15
XFC-00400,1,Estándar Presencial,2026-04-15
XFC-00401,4,Crónico en Riesgo,2026-04-15
XFC-00402,1,Estándar Presencial,2026-04-15
XFC-00403,1,Estándar Presencial,2026-04-15
XFC-00404,0,Crónico Alto Valor,2026-04-15
XFC-00405,2,Esporádico / Inactivo,2026-04-15
XFC-00406,1,Estándar Presencial,2026-04-15
XFC-00407,3,Frecuente Digital,2026-04-15
XFC-00408,0,Crónico Alto Valor,2026-04-15
XFC-00409,2,Esporádico / Inactivo,2026-04-15
XFC-00410,2,Esporádico / Inactivo,2026-04-15
XFC-00411,2,Esporádico / Inactivo,2026-04-15
XFC-00412,4,Crónico en Riesgo,2026-04-15
XFC-00413,4,Crónico en Riesgo,2026-04-15
XFC-00414,4,Crónico en Riesgo,2026-04-15
XFC-00415,1,Estándar Presencial,2026-04-15
XFC-00416,1,Estándar Presencial,2026-04-15
XFC-00417,4,Crónico en Riesgo,2026-04-15
XFC-00418,0,Crónico Alto Valor,2026-04-15
XFC-00419,2,Esporádico / Inactivo,2026-04-15
XFC-00420,3,Frecuente Digital,2026-04-15
XFC-00421,1,Estándar Presencial,2026-04-15
XFC-00422,2,Esporádico / Inactivo,2026-04-15
XFC-00423,2,Esporádico / Inactivo,2026-04-15
XFC-00424,0,Crónico Alto Valor,2026-04-15
XFC-00425,1,Estándar Presencial,2026-04-15
XFC-00426,0,Crónico Alto Valor,2026-04-15
XFC-00427,0,Crónico Alto Valor,2026-04-15
XFC-00428,1,Estándar Presencial,2026-04-15
XFC-00429,2,Esporádico / Inactivo,2026-04-15
XFC-00430,2,Esporádico / Inactivo,2026-04-15
XFC-00431,2,Esporádico / Inactivo,2026-04-15
XFC-00432,0,Crónico Alto Valor,2026-04-15
XFC-00433,1,Estándar Presencial,2026-04-15
XFC-00434,1,Estándar Presencial,2026-04-15
XFC-00435,2,Esporádico / Inactivo,2026-04-15
XFC-00436,1,Estándar Presencial,2026-04-15
XFC-00437,3,Frecuente Digital,2026-04-15
XFC-00438,4,Crónico en Riesgo,2026-04-15
XFC-00439,1,Estándar Presencial,2026-04-15
XFC-00440,0,Crónico Alto Valor,2026-04-15
XFC-00441,2,Esporádico / Inactivo,2026-04-15
XFC-00442,1,Estándar Presencial,2026-04-15
XFC-00443,3,Frecuente Digital,2026-04-15
XFC-00444,3,Frecuente Digital,2026-04-15
XFC-00445,4,Crónico en Riesgo,2026-04-15
XFC-00446,3,Frecuente Digital,2026-04-15
XFC-00447,1,Estándar Presencial,2026-04-15
XFC-00448,1,Estándar Presencial,2026-04-15
XFC-00449,1,Estándar Presencial,2026-04-15
XFC-00450,1,Estándar Presencial,2026-04-15
XFC-00451,0,Crónico Alto Valor,2026-04-15
XFC-00452,2,Esporádico / Inactivo,2026-04-15
XFC-00453,1,Estándar Presencial,2026-04-15
XFC-00454,0,Crónico Alto Valor,2026-04-15
XFC-00455,2,Esporádico / Inactivo,2026-04-15
XFC-00456,4,Crónico en Riesgo,2026-04-15
XFC-00457,4,Crónico en Riesgo,2026-04-15
XFC-00458,4,Crónico en Riesgo,2026-04-15
XFC-00459,1,Estándar Presencial,2026-04-15
XFC-00460,0,Crónico Alto Valor,2026-04-15
XFC-00461,4,Crónico en Riesgo,2026-04-15
XFC-00462,0,Crónico Alto Valor,2026-04-15
XFC-00463,1,Estándar Presencial,2026-04-15
XFC-00464,4,Crónico en Riesgo,2026-04-15
XFC-00465,2,Esporádico / Inactivo,2026-04-15
XFC-00466,1,Estándar Presencial,2026-04-15
XFC-00467,2,Esporádico / Inactivo,2026-04-15
XFC-00468,2,Esporádico / Inactivo,2026-04-15
XFC-00469,2,Esporádico / Inactivo,2026-04-15
XFC-00470,1,Estándar Presencial,2026-04-15
XFC-00471,1,Estándar Presencial,2026-04-15
XFC-00472,4,Crónico en Riesgo,2026-04-15
XFC-00473,1,Estándar Presencial,2026-04-15
XFC-00474,1,Estándar Presencial,2026-04-15
XFC-00475,2,Esporádico / Inactivo,2026-04-15
XFC-00476,1,Estándar Presencial,2026-04-15
XFC-00477,0,Crónico Alto Valor,2026-04-15
XFC-00478,1,Estándar Presencial,2026-04-15
XFC-00479,3,Frecuente Digital,2026-04-15
XFC-00480,2,Esporádico / Inactivo,2026-04-15
XFC-00481,1,Estándar Presencial,2026-04-15
XFC-00482,2,Esporádico / Inactivo,2026-04-15
XFC-00483,2,Esporádico / Inactivo,2026-04-15
XFC-00484,4,Crónico en Riesgo,2026-04-15
XFC-00485,1,Estándar Presencial,2026-04-15
XFC-00486,1,Estándar Presencial,2026-04-15
XFC-00487,4,Crónico en Riesgo,2026-04-15
XFC-00488,1,Estándar Presencial,2026-04-15
XFC-00489,1,Estándar Presencial,2026-04-15
XFC-00490,4,Crónico en Riesgo,2026-04-15
XFC-00491,4,Crónico en Riesgo,2026-04-15
XFC-00492,1,Estándar Presencial,2026-04-15
XFC-00493,3,Frecuente Digital,2026-04-15
XFC-00494,0,Crónico Alto Valor,2026-04-15
XFC-00495,2,Esporádico / Inactivo,2026-04-15
XFC-00496,0,Crónico Alto Valor,2026-04-15
XFC-00497,2,Esporádico / Inactivo,2026-04-15
XFC-00498,2,Esporádico / Inactivo,2026-04-15
XFC-00499,2,Esporádico / Inactivo,2026-04-15
XFC-00500,1,Estándar Presencial,2026-04-15
XFC-00501,2,Esporádico / Inactivo,2026-04-15
XFC-00502,1,Estándar Presencial,2026-04-15
XFC-00503,2,Esporádico / Inactivo,2026-04-15
XFC-00504,2,Esporádico / Inactivo,2026-04-15
XFC-00505,4,Crónico en Riesgo,2026-04-15
XFC-00506,1,Estándar Presencial,2026-04-15
XFC-00507,1,Estándar Presencial,2026-04-15
XFC-00508,4,Crónico en Riesgo,2026-04-15
XFC-00509,0,Crónico Alto Valor,2026-04-15
XFC-00510,4,Crónico en Riesgo,2026-04-15
XFC-00511,1,Estándar Presencial,2026-04-15
XFC-00512,1,Estándar Presencial,2026-04-15
XFC-00513,1,Estándar Presencial,2026-04-15
XFC-00514,4,Crónico en Riesgo,2026-04-15
XFC-00515,2,Esporádico / Inactivo,2026-04-15
XFC-00516,1,Estándar Presencial,2026-04-15
XFC-00517,2,Esporádico / Inactivo,2026-04-15
XFC-00518,2,Esporádico / Inactivo,2026-04-15
XFC-00519,1,Estándar Presencial,2026-04-15
XFC-00520,2,Esporádico / Inactivo,2026-04-15
XFC-00521,1,Estándar Presencial,2026-04-15
XFC-00522,2,Esporádico / Inactivo,2026-04-15
XFC-00523,3,Frecuente Digital,2026-04-15
XFC-00524,4,Crónico en Riesgo,2026-04-15
XFC-00525,0,Crónico Alto Valor,2026-04-15
XFC-00526,2,Esporádico / Inactivo,2026-04-15
XFC-00527,1,Estándar Presencial,2026-04-15
XFC-00528,2,Esporádico / Inactivo,2026-04-15
XFC-00529,3,Frecuente Digital,2026-04-15
XFC-00530,0,Crónico Alto Valor,2026-04-15
XFC-00531,1,Estándar Presencial,2026-04-15
