customer_id,probabilidad_churn,riesgo_churn,churn_real,fecha_scoring
XFC-00161,0.2389,Bajo,0,2026-04-15
XFC-00162,0.2766,Bajo,0,2026-04-15
XFC-00163,0.1919,Muy Bajo,0,2026-04-15
XFC-00164,0.9114,Crítico,1,2026-04-15
XFC-00165,0.0355,Muy Bajo,0,2026-04-15
XFC-00166,0.094,Muy Bajo,0,2026-04-15
XFC-00167,0.6078,Alto,0,2026-04-15
XFC-00168,0.0129,Muy Bajo,0,2026-04-15
XFC-00169,0.6664,Alto,1,2026-04-15
XFC-00170,0.0091,Muy Bajo,0,2026-04-15
XFC-00171,0.7236,Alto,0,2026-04-15
XFC-00172,0.1243,Muy Bajo,0,2026-04-15
XFC-00173,0.6421,Alto,0,2026-04-15
XFC-00174,0.7233,Alto,1,2026-04-15
XFC-00175,0.0102,Muy Bajo,0,2026-04-15
XFC-00176,0.0917,Muy Bajo,0,2026-04-15
XFC-00177,0.0618,Muy Bajo,0,2026-04-15
XFC-00178,0.2949,Bajo,0,2026-04-15
XFC-00179,0.0116,Muy Bajo,0,2026-04-15
XFC-00180,0.0097,Muy Bajo,0,2026-04-15
XFC-00181,0.0842,Muy Bajo,0,2026-04-15
XFC-00182,0.7649,Alto,1,2026-04-15
XFC-00183,0.918,Crítico,1,2026-04-15
XFC-00184,0.7027,Alto,1,2026-04-15
XFC-00185,0.6923,Alto,1,2026-04-15
XFC-00186,0.4613,Medio,1,2026-04-15
XFC-00187,0.0697,Muy Bajo,0,2026-04-15
XFC-00188,0.1397,Muy Bajo,0,2026-04-15
XFC-00189,0.0679,Muy Bajo,0,2026-04-15
XFC-00190,0.6915,Alto,1,2026-04-15
XFC-00191,0.1333,Muy Bajo,0,2026-04-15
XFC-00192,0.2153,Bajo,0,2026-04-15
XFC-00193,0.4727,Medio,0,2026-04-15
XFC-00194,0.7842,Alto,1,2026-04-15
XFC-00195,0.8661,Crítico,0,2026-04-15
XFC-00196,0.239,Bajo,0,2026-04-15
XFC-00197,0.2331,Bajo,0,2026-04-15
XFC-00198,0.9137,Crítico,1,2026-04-15
XFC-00199,0.228,Bajo,0,2026-04-15
XFC-00200,0.6296,Alto,1,2026-04-15
XFC-00201,0.8679,Crítico,1,2026-04-15
XFC-00202,0.4679,Medio,0,2026-04-15
XFC-00203,0.0806,Muy Bajo,0,2026-04-15
XFC-00204,0.7475,Alto,0,2026-04-15
XFC-00205,0.5081,Medio,1,2026-04-15
XFC-00206,0.055,Muy Bajo,0,2026-04-15
XFC-00207,0.7765,Alto,1,2026-04-15
XFC-00208,0.9285,Crítico,1,2026-04-15
XFC-00209,0.2043,Bajo,0,2026-04-15
XFC-00210,0.9017,Crítico,1,2026-04-15
XFC-00211,0.247,Bajo,0,2026-04-15
XFC-00212,0.7763,Alto,1,2026-04-15
XFC-00213,0.1159,Muy Bajo,0,2026-04-15
XFC-00214,0.5881,Medio,1,2026-04-15
XFC-00215,0.7546,Alto,1,2026-04-15
XFC-00216,0.0972,Muy Bajo,0,2026-04-15
XFC-00217,0.4563,Medio,0,2026-04-15
XFC-00218,0.0765,Muy Bajo,0,2026-04-15
XFC-00219,0.8892,Crítico,1,2026-04-15
XFC-00220,0.006,Muy Bajo,0,2026-04-15
XFC-00221,0.513,Medio,0,2026-04-15
XFC-00222,0.7566,Alto,1,2026-04-15
XFC-00223,0.7688,Alto,1,2026-04-15
XFC-00224,0.2842,Bajo,0,2026-04-15
XFC-00225,0.2474,Bajo,0,2026-04-15
XFC-00226,0.2134,Bajo,1,2026-04-15
XFC-00227,0.0957,Muy Bajo,0,2026-04-15
XFC-00228,0.7973,Alto,1,2026-04-15
XFC-00229,0.6519,Alto,0,2026-04-15
XFC-00230,0.6968,Alto,1,2026-04-15
XFC-00231,0.5342,Medio,1,2026-04-15
XFC-00232,0.7766,Alto,1,2026-04-15
XFC-00233,0.0947,Muy Bajo,0,2026-04-15
XFC-00234,0.8153,Crítico,0,2026-04-15
XFC-00235,0.8436,Crítico,1,2026-04-15
XFC-00236,0.9389,Crítico,1,2026-04-15
XFC-00237,0.012,Muy Bajo,0,2026-04-15
XFC-00238,0.5779,Medio,0,2026-04-15
XFC-00239,0.7551,Alto,1,2026-04-15
XFC-00240,0.6523,Alto,0,2026-04-15
XFC-00241,0.0078,Muy Bajo,0,2026-04-15
XFC-00242,0.5645,Medio,1,2026-04-15
XFC-00243,0.0057,Muy Bajo,0,2026-04-15
XFC-00244,0.3461,Bajo,0,2026-04-15
XFC-00245,0.3043,Bajo,0,2026-04-15
XFC-00246,0.6239,Alto,0,2026-04-15
XFC-00247,0.1616,Muy Bajo,0,2026-04-15
XFC-00248,0.7741,Alto,1,2026-04-15
XFC-00249,0.811,Crítico,1,2026-04-15
XFC-00250,0.8027,Crítico,1,2026-04-15
XFC-00251,0.8555,Crítico,1,2026-04-15
XFC-00252,0.922,Crítico,1,2026-04-15
XFC-00253,0.4125,Medio,1,2026-04-15
XFC-00254,0.3017,Bajo,0,2026-04-15
XFC-00255,0.0753,Muy Bajo,0,2026-04-15
XFC-00256,0.0072,Muy Bajo,0,2026-04-15
XFC-00257,0.0097,Muy Bajo,0,2026-04-15
XFC-00258,0.0363,Muy Bajo,0,2026-04-15
XFC-00259,0.6889,Alto,1,2026-04-15
XFC-00260,0.6781,Alto,0,2026-04-15
XFC-00261,0.9497,Crítico,1,2026-04-15
XFC-00262,0.0317,Muy Bajo,0,2026-04-15
XFC-00263,0.933,Crítico,1,2026-04-15
XFC-00264,0.7059,Alto,1,2026-04-15
XFC-00265,0.3831,Bajo,0,2026-04-15
XFC-00266,0.0453,Muy Bajo,0,2026-04-15
XFC-00267,0.9507,Crítico,0,2026-04-15
XFC-00268,0.8773,Crítico,1,2026-04-15
XFC-00269,0.4492,Medio,0,2026-04-15
XFC-00270,0.1986,Muy Bajo,0,2026-04-15
XFC-00271,0.0065,Muy Bajo,0,2026-04-15
XFC-00272,0.0472,Muy Bajo,0,2026-04-15
XFC-00273,0.172,Muy Bajo,0,2026-04-15
XFC-00274,0.9508,Crítico,1,2026-04-15
XFC-00275,0.0384,Muy Bajo,0,2026-04-15
XFC-00276,0.5818,Medio,0,2026-04-15
XFC-00277,0.6943,Alto,0,2026-04-15
XFC-00278,0.1974,Muy Bajo,0,2026-04-15
XFC-00279,0.3715,Bajo,0,2026-04-15
XFC-00280,0.7389,Alto,0,2026-04-15
XFC-00281,0.7969,Alto,1,2026-04-15
XFC-00282,0.53,Medio,1,2026-04-15
XFC-00283,0.1771,Muy Bajo,0,2026-04-15
XFC-00284,0.8382,Crítico,1,2026-04-15
XFC-00285,0.7133,Alto,1,2026-04-15
XFC-00286,0.6972,Alto,0,2026-04-15
XFC-00287,0.0095,Muy Bajo,0,2026-04-15
XFC-00288,0.1145,Muy Bajo,0,2026-04-15
XFC-00289,0.8168,Crítico,0,2026-04-15
XFC-00290,0.8346,Crítico,1,2026-04-15
XFC-00291,0.7418,Alto,0,2026-04-15
XFC-00292,0.0528,Muy Bajo,0,2026-04-15
XFC-00293,0.9443,Crítico,1,2026-04-15
XFC-00294,0.4687,Medio,1,2026-04-15
XFC-00295,0.7813,Alto,0,2026-04-15
XFC-00296,0.8595,Crítico,1,2026-04-15
XFC-00297,0.9854,Crítico,1,2026-04-15
XFC-00298,0.7424,Alto,1,2026-04-15
XFC-00299,0.0638,Muy Bajo,0,2026-04-15
XFC-00300,0.4794,Medio,0,2026-04-15
XFC-00301,0.9225,Crítico,1,2026-04-15
XFC-00302,0.1252,Muy Bajo,0,2026-04-15
XFC-00303,0.7491,Alto,1,2026-04-15
XFC-00304,0.7996,Alto,1,2026-04-15
XFC-00305,0.5771,Medio,0,2026-04-15
XFC-00306,0.119,Muy Bajo,0,2026-04-15
XFC-00307,0.9598,Crítico,1,2026-04-15
XFC-00308,0.9245,Crítico,1,2026-04-15
XFC-00309,0.8619,Crítico,1,2026-04-15
XFC-00310,0.1867,Muy Bajo,0,2026-04-15
XFC-00311,0.3414,Bajo,0,2026-04-15
XFC-00312,0.0059,Muy Bajo,0,2026-04-15
XFC-00313,0.9333,Crítico,1,2026-04-15
XFC-00314,0.0568,Muy Bajo,0,2026-04-15
XFC-00315,0.9295,Crítico,1,2026-04-15
XFC-00316,0.6861,Alto,1,2026-04-15
XFC-00317,0.5185,Medio,1,2026-04-15
XFC-00318,0.5484,Medio,0,2026-04-15
XFC-00319,0.8652,Crítico,1,2026-04-15
XFC-00320,0.7551,Alto,1,2026-04-15
XFC-00321,0.3081,Bajo,0,2026-04-15
XFC-00322,0.6101,Alto,1,2026-04-15
XFC-00323,0.9087,Crítico,1,2026-04-15
XFC-00324,0.9479,Crítico,1,2026-04-15
XFC-00325,0.9214,Crítico,1,2026-04-15
XFC-00326,0.3991,Bajo,0,2026-04-15
XFC-00327,0.3874,Bajo,1,2026-04-15
XFC-00328,0.7769,Alto,1,2026-04-15
XFC-00329,0.2727,Bajo,1,2026-04-15
XFC-00330,0.8155,Crítico,1,2026-04-15
XFC-00331,0.6499,Alto,1,2026-04-15
XFC-00332,0.873,Crítico,1,2026-04-15
XFC-00333,0.6686,Alto,1,2026-04-15
XFC-00334,0.9342,Crítico,1,2026-04-15
XFC-00335,0.3771,Bajo,0,2026-04-15
XFC-00336,0.0947,Muy Bajo,0,2026-04-15
XFC-00337,0.7675,Alto,1,2026-04-15
XFC-00338,0.8893,Crítico,1,2026-04-15
XFC-00339,0.8998,Crítico,1,2026-04-15
XFC-00340,0.9483,Crítico,1,2026-04-15
XFC-00341,0.0046,Muy Bajo,0,2026-04-15
XFC-00342,0.1273,Muy Bajo,0,2026-04-15
XFC-00343,0.0074,Muy Bajo,0,2026-04-15
XFC-00344,0.6866,Alto,1,2026-04-15
XFC-00345,0.3173,Bajo,0,2026-04-15
XFC-00346,0.7371,Alto,1,2026-04-15
XFC-00347,0.5295,Medio,1,2026-04-15
XFC-00348,0.2208,Bajo,0,2026-04-15
XFC-00349,0.2922,Bajo,1,2026-04-15
XFC-00350,0.5187,Medio,0,2026-04-15
XFC-00351,0.0075,Muy Bajo,0,2026-04-15
XFC-00352,0.567,Medio,1,2026-04-15
XFC-00353,0.428,Medio,1,2026-04-15
XFC-00354,0.8944,Crítico,1,2026-04-15
XFC-00355,0.4992,Medio,0,2026-04-15
XFC-00356,0.0074,Muy Bajo,0,2026-04-15
XFC-00357,0.2728,Bajo,0,2026-04-15
XFC-00358,0.9248,Crítico,1,2026-04-15
XFC-00359,0.6252,Alto,0,2026-04-15
XFC-00360,0.0733,Muy Bajo,0,2026-04-15
XFC-00361,0.8422,Crítico,1,2026-04-15
XFC-00362,0.9098,Crítico,1,2026-04-15
XFC-00363,0.8481,Crítico,1,2026-04-15
XFC-00364,0.2909,Bajo,0,2026-04-15
XFC-00365,0.9547,Crítico,1,2026-04-15
XFC-00366,0.9294,Crítico,1,2026-04-15
XFC-00367,0.5206,Medio,0,2026-04-15
XFC-00368,0.6088,Alto,1,2026-04-15
XFC-00369,0.7754,Alto,1,2026-04-15
XFC-00370,0.7043,Alto,0,2026-04-15
XFC-00371,0.5785,Medio,0,2026-04-15
XFC-00372,0.7027,Alto,1,2026-04-15
XFC-00373,0.9125,Crítico,1,2026-04-15
XFC-00374,0.243,Bajo,1,2026-04-15
XFC-00375,0.8026,Crítico,1,2026-04-15
XFC-00376,0.6294,Alto,1,2026-04-15
XFC-00377,0.0106,Muy Bajo,0,2026-04-15
XFC-00378,0.014,Muy Bajo,0,2026-04-15
XFC-00379,0.0772,Muy Bajo,0,2026-04-15
XFC-00380,0.0095,Muy Bajo,0,2026-04-15
XFC-00381,0.4849,Medio,0,2026-04-15
XFC-00382,0.0543,Muy Bajo,0,2026-04-15
XFC-00383,0.1563,Muy Bajo,0,2026-04-15
XFC-00384,0.8057,Crítico,0,2026-04-15
XFC-00385,0.9214,Crítico,1,2026-04-15
XFC-00386,0.8657,Crítico,1,2026-04-15
XFC-00387,0.7384,Alto,1,2026-04-15
XFC-00388,0.8941,Crítico,1,2026-04-15
XFC-00389,0.1368,Muy Bajo,0,2026-04-15
XFC-00390,0.9563,Crítico,1,2026-04-15
XFC-00391,0.929,Crítico,1,2026-04-15
XFC-00392,0.9156,Crítico,1,2026-04-15
XFC-00393,0.4666,Medio,1,2026-04-15
XFC-00394,0.7248,Alto,1,2026-04-15
XFC-00395,0.0928,Muy Bajo,1,2026-04-15
XFC-00396,0.7306,Alto,1,2026-04-15
XFC-00397,0.968,Crítico,1,2026-04-15
XFC-00398,0.9067,Crítico,1,2026-04-15
XFC-00399,0.6945,Alto,1,2026-04-15
XFC-00400,0.6492,Alto,1,2026-04-15
XFC-00401,0.0533,Muy Bajo,0,2026-04-15
XFC-00402,0.5218,Medio,0,2026-04-15
XFC-00403,0.9508,Crítico,1,2026-04-15
XFC-00404,0.1362,Muy Bajo,0,2026-04-15
XFC-00405,0.3795,Bajo,0,2026-04-15
XFC-00406,0.4402,Medio,0,2026-04-15
XFC-00407,0.9523,Crítico,1,2026-04-15
XFC-00408,0.0289,Muy Bajo,0,2026-04-15
XFC-00409,0.169,Muy Bajo,0,2026-04-15
XFC-00410,0.9426,Crítico,1,2026-04-15
XFC-00411,0.6592,Alto,1,2026-04-15
XFC-00412,0.707,Alto,1,2026-04-15
XFC-00413,0.2318,Bajo,0,2026-04-15
XFC-00414,0.4408,Medio,1,2026-04-15
XFC-00415,0.5172,Medio,0,2026-04-15
XFC-00416,0.8905,Crítico,1,2026-04-15
XFC-00417,0.1543,Muy Bajo,0,2026-04-15
XFC-00418,0.2573,Bajo,0,2026-04-15
XFC-00419,0.7767,Alto,1,2026-04-15
XFC-00420,0.9357,Crítico,1,2026-04-15
XFC-00421,0.9332,Crítico,1,2026-04-15
XFC-00422,0.7344,Alto,1,2026-04-15
XFC-00423,0.4282,Medio,0,2026-04-15
XFC-00424,0.6601,Alto,1,2026-04-15
XFC-00425,0.4616,Medio,0,2026-04-15
XFC-00426,0.1137,Muy Bajo,0,2026-04-15
XFC-00427,0.0309,Muy Bajo,0,2026-04-15
XFC-00428,0.9415,Crítico,1,2026-04-15
XFC-00429,0.4955,Medio,1,2026-04-15
XFC-00430,0.7254,Alto,0,2026-04-15
XFC-00431,0.6016,Alto,1,2026-04-15
XFC-00432,0.0962,Muy Bajo,0,2026-04-15
XFC-00433,0.8354,Crítico,1,2026-04-15
XFC-00434,0.9166,Crítico,1,2026-04-15
XFC-00435,0.1864,Muy Bajo,0,2026-04-15
XFC-00436,0.7653,Alto,0,2026-04-15
XFC-00437,0.013,Muy Bajo,0,2026-04-15
XFC-00438,0.0834,Muy Bajo,0,2026-04-15
XFC-00439,0.8861,Crítico,1,2026-04-15
XFC-00440,0.0833,Muy Bajo,0,2026-04-15
XFC-00441,0.6153,Alto,1,2026-04-15
XFC-00442,0.8734,Crítico,1,2026-04-15
XFC-00443,0.4203,Medio,0,2026-04-15
XFC-00444,0.0077,Muy Bajo,0,2026-04-15
XFC-00445,0.1522,Muy Bajo,0,2026-04-15
XFC-00446,0.0096,Muy Bajo,0,2026-04-15
XFC-00447,0.8388,Crítico,1,2026-04-15
XFC-00448,0.6849,Alto,1,2026-04-15
XFC-00449,0.9178,Crítico,1,2026-04-15
XFC-00450,0.6729,Alto,0,2026-04-15
XFC-00451,0.6907,Alto,1,2026-04-15
XFC-00452,0.837,Crítico,1,2026-04-15
XFC-00453,0.2515,Bajo,0,2026-04-15
XFC-00454,0.0554,Muy Bajo,0,2026-04-15
XFC-00455,0.7706,Alto,1,2026-04-15
XFC-00456,0.2325,Bajo,0,2026-04-15
XFC-00457,0.1291,Muy Bajo,0,2026-04-15
XFC-00458,0.0967,Muy Bajo,0,2026-04-15
XFC-00459,0.7098,Alto,1,2026-04-15
XFC-00460,0.0743,Muy Bajo,0,2026-04-15
XFC-00461,0.1891,Muy Bajo,0,2026-04-15
XFC-00462,0.2017,Bajo,0,2026-04-15
XFC-00463,0.8473,Crítico,0,2026-04-15
XFC-00464,0.1269,Muy Bajo,0,2026-04-15
XFC-00465,0.6204,Alto,1,2026-04-15
XFC-00466,0.8916,Crítico,0,2026-04-15
XFC-00467,0.9616,Crítico,1,2026-04-15
XFC-00468,0.9614,Crítico,1,2026-04-15
XFC-00469,0.9038,Crítico,1,2026-04-15
XFC-00470,0.9023,Crítico,1,2026-04-15
XFC-00471,0.8286,Crítico,1,2026-04-15
XFC-00472,0.1082,Muy Bajo,0,2026-04-15
XFC-00473,0.3741,Bajo,0,2026-04-15
XFC-00474,0.5224,Medio,0,2026-04-15
XFC-00475,0.4935,Medio,1,2026-04-15
XFC-00476,0.9115,Crítico,1,2026-04-15
XFC-00477,0.0344,Muy Bajo,0,2026-04-15
XFC-00478,0.5044,Medio,1,2026-04-15
XFC-00479,0.9646,Crítico,1,2026-04-15
XFC-00480,0.5792,Medio,0,2026-04-15
XFC-00481,0.695,Alto,0,2026-04-15
XFC-00482,0.8579,Crítico,1,2026-04-15
XFC-00483,0.9525,Crítico,1,2026-04-15
XFC-00484,0.1357,Muy Bajo,0,2026-04-15
XFC-00485,0.7252,Alto,0,2026-04-15
XFC-00486,0.8081,Crítico,1,2026-04-15
XFC-00487,0.3589,Bajo,0,2026-04-15
XFC-00488,0.6847,Alto,1,2026-04-15
XFC-00489,0.8324,Crítico,1,2026-04-15
XFC-00490,0.4209,Medio,1,2026-04-15
XFC-00491,0.8809,Crítico,0,2026-04-15
XFC-00492,0.8966,Crítico,1,2026-04-15
XFC-00493,0.0063,Muy Bajo,0,2026-04-15
XFC-00494,0.7222,Alto,1,2026-04-15
XFC-00495,0.4671,Medio,0,2026-04-15
XFC-00496,0.0922,Muy Bajo,0,2026-04-15
XFC-00497,0.3935,Bajo,0,2026-04-15
XFC-00498,0.7257,Alto,1,2026-04-15
XFC-00499,0.8555,Crítico,1,2026-04-15
XFC-00500,0.9265,Crítico,1,2026-04-15
XFC-00501,0.9311,Crítico,1,2026-04-15
XFC-00502,0.2345,Bajo,0,2026-04-15
XFC-00503,0.5987,Medio,1,2026-04-15
XFC-00504,0.7374,Alto,1,2026-04-15
XFC-00505,0.5765,Medio,0,2026-04-15
XFC-00506,0.5924,Medio,1,2026-04-15
XFC-00507,0.2089,Bajo,0,2026-04-15
XFC-00508,0.191,Muy Bajo,0,2026-04-15
XFC-00509,0.0765,Muy Bajo,0,2026-04-15
XFC-00510,0.3733,Bajo,0,2026-04-15
XFC-00511,0.8991,Crítico,1,2026-04-15
XFC-00512,0.9373,Crítico,1,2026-04-15
XFC-00513,0.7255,Alto,1,2026-04-15
XFC-00514,0.3721,Bajo,1,2026-04-15
XFC-00515,0.9057,Crítico,1,2026-04-15
XFC-00516,0.285,Bajo,0,2026-04-15
XFC-00517,0.3851,Bajo,0,2026-04-15
XFC-00518,0.7056,Alto,1,2026-04-15
XFC-00519,0.7294,Alto,1,2026-04-15
XFC-00520,0.859,Crítico,1,2026-04-15
XFC-00521,0.8081,Crítico,1,2026-04-15
XFC-00522,0.84,Crítico,1,2026-04-15
XFC-00523,0.9267,Crítico,1,2026-04-15
XFC-00524,0.1122,Muy Bajo,0,2026-04-15
XFC-00525,0.0867,Muy Bajo,0,2026-04-15
XFC-00526,0.9511,Crítico,1,2026-04-15
XFC-00527,0.49,Medio,0,2026-04-15
