customer_id,score_margen,score_ingreso,score_frecuencia,score_programa,score_adherencia,indice_priorizacion,categoria_valor,clv_24m,fecha_calculo
XFC-00022,5.72,4.31,7.12,0,50.0,18.36,Valor Bajo,0.0,2026-04-15
XFC-00023,0.57,0.5,13.88,75,50.0,24.82,Valor Bajo,0.0,2026-04-15
XFC-00024,25.06,25.29,37.38,50,79.83,45.88,Valor Medio,3525.0,2026-04-15
XFC-00025,2.38,0.0,0.0,50,0.0,5.6,En Riesgo,160.0,2026-04-15
XFC-00026,31.59,35.85,29.12,50,84.9,49.91,Valor Medio,4163.0,2026-04-15
XFC-00027,3.16,2.74,3.0,0,50.0,16.79,Valor Bajo,0.0,2026-04-15
XFC-00028,4.96,0.0,0.0,0,0.0,1.24,En Riesgo,330.0,2026-04-15
XFC-00029,0.07,0.0,0.0,0,50.0,15.02,Valor Bajo,0.0,2026-04-15
XFC-00030,10.4,8.31,16.75,0,50.0,21.77,Valor Bajo,0.0,2026-04-15
XFC-00031,0.48,0.45,3.75,0,50.0,15.77,Valor Bajo,0.0,2026-04-15
XFC-00032,5.24,4.46,5.0,0,50.0,17.95,Valor Bajo,0.0,2026-04-15
XFC-00033,41.83,51.41,49.62,75,48.76,50.31,Valor Medio,1133.0,2026-04-15
XFC-00034,3.77,0.83,31.25,0,50.0,20.8,Valor Bajo,0.0,2026-04-15
XFC-00035,4.66,4.08,8.62,0,50.0,18.27,Valor Bajo,0.0,2026-04-15
XFC-00036,0.44,0.4,2.25,0,50.0,15.53,Valor Bajo,0.0,2026-04-15
XFC-00037,47.63,41.7,41.0,0,80.66,50.6,Valor Medio,3454.0,2026-04-15
XFC-00038,1.44,1.22,3.12,25,50.0,18.57,Valor Bajo,0.0,2026-04-15
XFC-00039,2.07,1.77,4.5,0,50.0,16.55,Valor Bajo,0.0,2026-04-15
XFC-00040,16.33,13.72,24.0,0,82.81,35.27,Valor Medio,1851.0,2026-04-15
XFC-00041,5.27,4.88,4.75,0,50.0,18.01,Valor Bajo,0.0,2026-04-15
XFC-00042,2.33,2.3,8.88,50,50.0,22.37,Valor Bajo,0.0,2026-04-15
XFC-00043,0.86,0.79,2.38,0,50.0,15.73,Valor Bajo,0.0,2026-04-15
XFC-00044,0.81,0.7,2.25,25,50.0,18.18,Valor Bajo,0.0,2026-04-15
XFC-00045,58.02,62.09,42.38,0,89.63,60.17,Alto Valor,8593.0,2026-04-15
XFC-00046,3.74,3.17,7.38,0,50.0,17.68,Valor Bajo,0.0,2026-04-15
XFC-00047,1.21,1.03,2.75,0,50.0,15.92,Valor Bajo,0.0,2026-04-15
XFC-00048,3.09,2.62,7.12,0,50.0,17.36,Valor Bajo,0.0,2026-04-15
XFC-00049,3.86,3.48,2.38,0,50.0,17.02,Valor Bajo,0.0,2026-04-15
XFC-00050,11.01,10.52,16.12,100,85.92,43.05,Valor Medio,1193.0,2026-04-15
XFC-00051,1.97,0.0,0.0,25,0.0,2.99,En Riesgo,133.0,2026-04-15
XFC-00052,12.81,9.08,24.38,0,78.28,32.16,Valor Bajo,1516.0,2026-04-15
XFC-00053,2.26,1.98,3.75,0,50.0,16.52,Valor Bajo,0.0,2026-04-15
XFC-00054,4.64,3.45,6.75,50,50.0,22.86,Valor Bajo,0.0,2026-04-15
XFC-00055,24.31,27.77,23.0,75,73.28,44.57,Valor Medio,1653.0,2026-04-15
XFC-00056,15.05,11.98,24.38,50,84.93,40.29,Valor Medio,1992.0,2026-04-15
XFC-00057,27.21,27.47,20.88,0,77.64,38.72,Valor Medio,1805.0,2026-04-15
XFC-00058,18.54,14.37,20.5,50,78.2,39.04,Valor Medio,1491.0,2026-04-15
XFC-00059,16.02,10.27,35.12,50,70.62,37.51,Valor Medio,1744.0,2026-04-15
XFC-00060,0.22,0.22,0.75,0,50.0,15.21,Valor Bajo,0.0,2026-04-15
XFC-00061,0.08,0.0,0.0,50,50.0,20.02,Valor Bajo,0.0,2026-04-15
XFC-00062,4.93,4.11,6.25,0,50.0,17.99,Valor Bajo,0.0,2026-04-15
XFC-00063,16.63,18.11,29.88,50,81.36,41.67,Valor Medio,3777.0,2026-04-15
XFC-00064,24.78,24.96,18.0,0,68.74,34.51,Valor Bajo,1137.0,2026-04-15
XFC-00065,1.68,0.98,11.88,0,50.0,17.4,Valor Bajo,0.0,2026-04-15
XFC-00066,1.71,1.51,4.25,0,50.0,16.37,Valor Bajo,0.0,2026-04-15
XFC-00067,0.84,0.83,4.38,0,50.0,16.03,Valor Bajo,0.0,2026-04-15
XFC-00068,1.29,0.84,4.38,75,50.0,23.65,Valor Bajo,0.0,2026-04-15
XFC-00069,7.27,7.9,52.62,0,86.6,37.27,Valor Medio,6771.0,2026-04-15
XFC-00070,0.07,0.1,12.5,0,50.0,16.91,Valor Bajo,0.0,2026-04-15
XFC-00071,0.77,0.69,1.38,0,50.0,15.54,Valor Bajo,0.0,2026-04-15
XFC-00072,12.77,11.4,23.38,25,94.11,39.71,Valor Medio,5013.0,2026-04-15
XFC-00073,10.13,8.03,15.5,0,84.4,31.78,Valor Bajo,1518.0,2026-04-15
XFC-00074,6.64,5.69,7.5,0,50.0,18.92,Valor Bajo,0.0,2026-04-15
XFC-00075,33.21,37.56,23.62,25,82.96,46.75,Valor Medio,2775.0,2026-04-15
XFC-00076,0.5,0.45,1.0,50,50.0,20.37,Valor Bajo,0.0,2026-04-15
XFC-00077,33.4,36.68,46.75,75,71.75,51.72,Valor Medio,2519.0,2026-04-15
XFC-00078,10.27,5.49,9.0,75,77.64,35.81,Valor Medio,701.0,2026-04-15
XFC-00079,6.26,5.0,9.5,0,50.0,18.99,Valor Bajo,0.0,2026-04-15
XFC-00080,5.04,4.36,16.5,50,50.0,24.61,Valor Bajo,0.0,2026-04-15
XFC-00081,27.0,24.74,23.88,25,75.3,40.37,Valor Medio,1507.0,2026-04-15
XFC-00082,3.08,2.77,4.5,50,84.04,32.21,Valor Bajo,335.0,2026-04-15
XFC-00083,0.36,0.0,0.0,0,50.0,15.09,Valor Bajo,0.0,2026-04-15
XFC-00084,0.91,0.82,25.0,0,50.0,19.14,Valor Bajo,0.0,2026-04-15
XFC-00085,5.27,4.17,12.38,0,50.0,19.01,Valor Bajo,0.0,2026-04-15
XFC-00086,0.14,0.17,0.88,100,50.0,25.2,Valor Bajo,0.0,2026-04-15
XFC-00087,5.75,4.88,4.88,25,50.0,20.65,Valor Bajo,0.0,2026-04-15
XFC-00088,51.37,52.4,27.25,25,57.47,47.15,Valor Medio,1410.0,2026-04-15
XFC-00089,3.43,0.0,0.0,25,0.0,3.36,En Riesgo,229.0,2026-04-15
XFC-00090,2.49,0.0,0.0,0,0.0,0.62,En Riesgo,168.0,2026-04-15
XFC-00091,0.19,0.19,5.88,0,50.0,15.97,Valor Bajo,0.0,2026-04-15
XFC-00092,26.18,20.6,22.88,0,75.34,36.7,Valor Medio,1654.0,2026-04-15
XFC-00093,3.33,0.0,0.0,25,0.0,3.33,En Riesgo,223.0,2026-04-15
XFC-00094,0.21,0.2,0.62,75,50.0,22.69,Valor Bajo,0.0,2026-04-15
XFC-00095,3.96,2.16,2.75,50,50.0,21.83,Valor Bajo,0.0,2026-04-15
XFC-00096,38.3,38.26,24.5,25,87.32,49.6,Valor Medio,4797.0,2026-04-15
XFC-00097,0.69,0.64,1.38,0,50.0,15.51,Valor Bajo,0.0,2026-04-15
XFC-00098,0.23,0.21,1.38,25,50.0,17.81,Valor Bajo,0.0,2026-04-15
XFC-00099,22.49,18.3,30.63,25,73.34,38.38,Valor Medio,1683.0,2026-04-15
XFC-00100,42.9,48.1,41.25,75,72.76,55.86,Alto Valor,2665.0,2026-04-15
XFC-00101,0.31,0.0,0.0,0,50.0,15.08,Valor Bajo,0.0,2026-04-15
XFC-00102,4.87,4.21,7.88,0,50.0,18.24,Valor Bajo,0.0,2026-04-15
XFC-00103,23.86,19.75,28.12,50,71.1,40.46,Valor Medio,1181.0,2026-04-15
XFC-00104,0.43,0.39,2.12,0,50.0,15.5,Valor Bajo,0.0,2026-04-15
XFC-00105,1.34,0.98,3.62,50,50.0,21.07,Valor Bajo,0.0,2026-04-15
XFC-00106,0.04,0.07,0.62,0,50.0,15.12,Valor Bajo,0.0,2026-04-15
XFC-00107,1.86,1.7,6.0,0,50.0,16.7,Valor Bajo,0.0,2026-04-15
XFC-00108,1.08,0.9,2.88,0,50.0,15.88,Valor Bajo,0.0,2026-04-15
XFC-00109,28.02,27.08,49.38,50,76.86,47.89,Valor Medio,3703.0,2026-04-15
XFC-00110,0.2,0.2,1.5,25,50.0,17.82,Valor Bajo,0.0,2026-04-15
XFC-00111,26.05,32.49,31.62,75,71.1,46.58,Valor Medio,2942.0,2026-04-15
XFC-00112,0.5,0.44,2.38,0,50.0,15.57,Valor Bajo,0.0,2026-04-15
XFC-00113,41.52,53.41,31.75,100,90.55,62.99,Alto Valor,6118.0,2026-04-15
XFC-00114,2.72,1.89,8.38,0,50.0,17.32,Valor Bajo,0.0,2026-04-15
XFC-00115,8.31,6.3,10.62,0,50.0,19.93,Valor Bajo,0.0,2026-04-15
XFC-00116,0.31,0.29,1.75,0,50.0,15.4,Valor Bajo,0.0,2026-04-15
XFC-00117,12.56,10.32,21.38,0,50.0,23.41,Valor Bajo,0.0,2026-04-15
XFC-00118,0.79,0.0,0.0,0,50.0,15.2,Valor Bajo,0.0,2026-04-15
XFC-00119,1.7,1.46,2.62,0,50.0,16.11,Valor Bajo,0.0,2026-04-15
XFC-00120,47.05,49.77,32.0,25,86.74,55.04,Alto Valor,6495.0,2026-04-15
XFC-00121,1.2,0.66,2.12,50,50.0,20.75,Valor Bajo,0.0,2026-04-15
XFC-00122,31.37,28.41,24.12,50,88.05,48.56,Valor Medio,4328.0,2026-04-15
XFC-00123,52.09,54.17,30.25,50,84.33,58.69,Alto Valor,4725.0,2026-04-15
XFC-00124,0.38,0.0,0.0,0,50.0,15.1,Valor Bajo,0.0,2026-04-15
XFC-00125,2.42,2.05,5.0,0,50.0,16.76,Valor Bajo,0.0,2026-04-15
XFC-00126,3.28,2.84,7.25,25,50.0,19.98,Valor Bajo,0.0,2026-04-15
XFC-00127,0.59,0.5,2.88,25,50.0,18.18,Valor Bajo,0.0,2026-04-15
XFC-00128,0.9,0.72,3.25,0,50.0,15.86,Valor Bajo,0.0,2026-04-15
XFC-00129,19.61,19.47,26.75,0,77.36,36.02,Valor Medio,3053.0,2026-04-15
XFC-00130,20.42,18.1,17.62,0,83.19,36.33,Valor Medio,2966.0,2026-04-15
XFC-00131,3.63,0.0,0.0,50,0.0,5.91,En Riesgo,242.0,2026-04-15
XFC-00132,0.11,0.12,0.62,0,50.0,15.14,Valor Bajo,0.0,2026-04-15
XFC-00133,1.96,1.66,2.88,25,50.0,18.75,Valor Bajo,0.0,2026-04-15
XFC-00134,1.27,1.12,7.75,0,50.0,16.7,Valor Bajo,0.0,2026-04-15
XFC-00135,0.4,0.4,2.0,100,50.0,25.48,Valor Bajo,0.0,2026-04-15
XFC-00136,1.26,1.1,2.0,0,50.0,15.84,Valor Bajo,0.0,2026-04-15
XFC-00137,12.91,9.51,34.12,0,59.11,27.98,Valor Bajo,747.0,2026-04-15
XFC-00138,8.83,8.42,12.38,0,71.19,27.11,Valor Bajo,434.0,2026-04-15
XFC-00139,0.05,0.0,0.0,0,50.0,15.01,Valor Bajo,0.0,2026-04-15
XFC-00140,22.02,19.63,29.75,0,65.71,33.61,Valor Bajo,900.0,2026-04-15
XFC-00141,20.51,19.6,24.12,75,68.55,40.73,Valor Medio,913.0,2026-04-15
XFC-00142,0.16,0.18,2.25,25,50.0,17.91,Valor Bajo,0.0,2026-04-15
XFC-00143,12.42,9.7,15.38,25,50.0,24.85,Valor Bajo,0.0,2026-04-15
XFC-00144,9.13,7.28,15.5,0,50.0,21.06,Valor Bajo,0.0,2026-04-15
XFC-00145,0.81,0.76,2.0,75,50.0,23.15,Valor Bajo,0.0,2026-04-15
XFC-00146,1.73,1.53,3.12,0,50.0,16.21,Valor Bajo,0.0,2026-04-15
XFC-00147,0.4,0.0,0.0,75,50.0,22.6,Valor Bajo,0.0,2026-04-15
XFC-00148,0.09,0.11,1.25,0,50.0,15.23,Valor Bajo,0.0,2026-04-15
XFC-00149,0.23,0.21,2.25,50,50.0,20.44,Valor Bajo,0.0,2026-04-15
XFC-00150,0.17,0.18,1.25,0,50.0,15.27,Valor Bajo,0.0,2026-04-15
XFC-00151,0.2,0.23,1.62,50,50.0,20.34,Valor Bajo,0.0,2026-04-15
XFC-00152,0.13,0.15,0.88,25,50.0,17.69,Valor Bajo,0.0,2026-04-15
XFC-00153,29.61,30.33,22.75,75,61.25,42.76,Valor Medio,1037.0,2026-04-15
XFC-00154,4.12,2.42,20.38,75,93.53,40.13,Valor Medio,6138.0,2026-04-15
XFC-00155,25.28,20.88,29.88,0,84.89,40.44,Valor Medio,2383.0,2026-04-15
XFC-00156,4.15,2.76,4.75,0,50.0,17.3,Valor Bajo,0.0,2026-04-15
XFC-00157,0.58,0.47,25.0,0,50.0,18.99,Valor Bajo,0.0,2026-04-15
XFC-00158,1.11,1.21,2.62,0,50.0,15.91,Valor Bajo,0.0,2026-04-15
XFC-00159,9.77,0.0,0.0,0,0.0,2.44,En Riesgo,647.0,2026-04-15
XFC-00160,0.01,0.0,0.0,0,50.0,15.0,En Riesgo,0.0,2026-04-15
XFC-00161,7.27,2.08,30.12,25,97.35,38.46,Valor Medio,23658.0,2026-04-15
XFC-00162,21.95,22.86,19.38,25,90.65,42.66,Valor Medio,4359.0,2026-04-15
XFC-00163,34.34,42.12,29.38,100,91.45,58.85,Alto Valor,5464.0,2026-04-15
XFC-00164,0.61,0.56,0.38,0,50.0,15.32,Valor Bajo,0.0,2026-04-15
XFC-00165,31.23,27.72,40.62,100,73.62,51.53,Valor Medio,1635.0,2026-04-15
XFC-00166,66.46,65.26,37.88,0,66.86,55.41,Alto Valor,3154.0,2026-04-15
XFC-00167,4.26,3.85,3.25,0,50.0,17.32,Valor Bajo,0.0,2026-04-15
XFC-00168,0.23,0.0,0.0,25,50.0,17.56,Valor Bajo,0.0,2026-04-15
XFC-00169,3.11,2.52,7.38,25,50.0,19.89,Valor Bajo,0.0,2026-04-15
XFC-00170,0.78,0.0,0.0,25,0.0,2.7,En Riesgo,55.0,2026-04-15
XFC-00171,0.83,0.18,3.75,0,50.0,15.81,Valor Bajo,0.0,2026-04-15
XFC-00172,45.63,44.11,30.25,50,92.09,57.39,Alto Valor,7704.0,2026-04-15
XFC-00173,4.52,3.53,3.5,0,50.0,17.36,Valor Bajo,0.0,2026-04-15
XFC-00174,0.77,0.7,2.62,0,50.0,15.73,Valor Bajo,0.0,2026-04-15
XFC-00175,0.3,0.0,0.0,0,50.0,15.08,Valor Bajo,0.0,2026-04-15
XFC-00176,33.06,28.23,20.62,50,58.07,39.42,Valor Medio,807.0,2026-04-15
XFC-00177,69.98,59.65,54.62,25,75.47,62.76,Alto Valor,3895.0,2026-04-15
XFC-00178,11.93,8.53,8.75,0,75.73,28.72,Valor Bajo,791.0,2026-04-15
XFC-00179,3.63,0.0,0.0,0,0.0,0.91,En Riesgo,242.0,2026-04-15
XFC-00180,0.81,0.0,0.0,100,50.0,25.2,Valor Bajo,0.0,2026-04-15
XFC-00181,67.75,69.38,41.0,25,89.14,66.21,Alto Valor,9906.0,2026-04-15
XFC-00182,7.9,7.04,21.88,0,81.55,31.13,Valor Bajo,1650.0,2026-04-15
XFC-00183,0.75,0.69,0.5,75,50.0,22.9,Valor Bajo,0.0,2026-04-15
XFC-00184,1.22,1.02,7.5,0,50.0,16.63,Valor Bajo,0.0,2026-04-15
XFC-00185,1.17,0.96,13.12,0,50.0,17.45,Valor Bajo,0.0,2026-04-15
XFC-00186,45.27,52.85,32.38,25,84.21,54.51,Valor Medio,4245.0,2026-04-15
XFC-00187,22.65,19.77,27.88,0,78.66,37.4,Valor Medio,1976.0,2026-04-15
XFC-00188,51.66,49.78,30.25,25,81.87,54.47,Valor Medio,4186.0,2026-04-15
XFC-00189,20.75,19.34,32.88,50,0.0,18.99,Valor Bajo,200.0,2026-04-15
XFC-00190,3.28,2.97,3.38,25,50.0,19.42,Valor Bajo,0.0,2026-04-15
XFC-00191,14.0,10.38,27.5,0,79.52,33.56,Valor Bajo,2066.0,2026-04-15
XFC-00192,15.25,15.72,17.12,25,73.67,34.13,Valor Bajo,1476.0,2026-04-15
XFC-00193,5.3,4.11,5.0,25,50.0,20.4,Valor Bajo,0.0,2026-04-15
XFC-00194,4.39,3.75,5.5,0,50.0,17.67,Valor Bajo,0.0,2026-04-15
XFC-00195,0.5,0.29,9.88,25,50.0,19.16,Valor Bajo,0.0,2026-04-15
XFC-00196,4.54,3.62,9.38,0,50.0,18.27,Valor Bajo,0.0,2026-04-15
XFC-00197,1.61,1.01,8.62,0,50.0,16.9,Valor Bajo,0.0,2026-04-15
XFC-00198,0.23,0.21,1.0,0,50.0,15.25,Valor Bajo,0.0,2026-04-15
XFC-00199,12.11,10.03,20.75,0,89.72,35.06,Valor Medio,2209.0,2026-04-15
XFC-00200,3.56,3.0,7.0,0,50.0,17.54,Valor Bajo,0.0,2026-04-15
XFC-00201,0.71,0.64,20.5,75,50.0,25.88,Valor Bajo,0.0,2026-04-15
XFC-00202,4.03,3.36,6.0,25,50.0,20.08,Valor Bajo,0.0,2026-04-15
XFC-00203,18.66,16.5,23.5,0,86.95,37.58,Valor Medio,2443.0,2026-04-15
XFC-00204,1.09,0.8,2.5,0,50.0,15.81,Valor Bajo,0.0,2026-04-15
XFC-00205,2.11,1.88,53.62,50,90.9,41.22,Valor Medio,5765.0,2026-04-15
XFC-00206,28.05,33.02,29.12,0,69.04,38.7,Valor Medio,1538.0,2026-04-15
XFC-00207,13.49,14.28,13.0,0,77.1,31.31,Valor Bajo,1048.0,2026-04-15
XFC-00208,0.07,0.1,0.62,0,50.0,15.13,Valor Bajo,0.0,2026-04-15
XFC-00209,33.0,26.31,29.38,0,62.27,36.6,Valor Medio,1040.0,2026-04-15
XFC-00210,0.48,0.49,1.88,75,50.0,23.0,Valor Bajo,0.0,2026-04-15
XFC-00211,8.23,6.62,10.5,50,50.0,24.96,Valor Bajo,0.0,2026-04-15
XFC-00212,0.3,0.27,1.75,50,50.0,20.39,Valor Bajo,0.0,2026-04-15
XFC-00213,11.57,10.77,32.75,100,84.39,45.28,Valor Medio,1796.0,2026-04-15
XFC-00214,2.0,1.66,5.12,50,50.0,21.6,Valor Bajo,0.0,2026-04-15
XFC-00215,2.04,1.88,4.38,100,50.0,26.54,Valor Bajo,0.0,2026-04-15
XFC-00216,39.81,39.66,22.62,25,77.99,47.17,Valor Medio,2523.0,2026-04-15
XFC-00217,4.73,3.79,7.75,75,50.0,25.6,Valor Bajo,0.0,2026-04-15
XFC-00218,33.21,29.6,25.5,0,84.99,43.54,Valor Medio,3263.0,2026-04-15
XFC-00219,0.2,0.2,9.25,0,50.0,16.48,Valor Bajo,0.0,2026-04-15
XFC-00220,0.79,0.0,0.0,0,50.0,15.2,Valor Bajo,0.0,2026-04-15
XFC-00221,2.99,2.62,7.25,75,50.0,24.86,Valor Bajo,0.0,2026-04-15
XFC-00222,1.72,1.66,5.0,100,50.0,26.51,Valor Bajo,0.0,2026-04-15
XFC-00223,1.62,1.39,2.75,0,50.0,16.1,Valor Bajo,0.0,2026-04-15
XFC-00224,29.96,25.21,44.88,25,78.93,45.44,Valor Medio,4192.0,2026-04-15
XFC-00225,15.01,15.19,8.12,75,66.63,35.5,Valor Medio,629.0,2026-04-15
XFC-00226,40.6,37.44,26.12,0,70.35,42.66,Valor Medio,1828.0,2026-04-15
XFC-00227,18.35,12.86,31.5,25,81.84,38.94,Valor Medio,3018.0,2026-04-15
XFC-00228,4.38,3.71,7.12,25,50.0,20.4,Valor Bajo,0.0,2026-04-15
XFC-00229,2.55,2.11,3.62,0,50.0,16.6,Valor Bajo,0.0,2026-04-15
XFC-00230,2.51,2.12,4.62,0,50.0,16.74,Valor Bajo,0.0,2026-04-15
XFC-00231,7.46,6.16,13.5,25,50.0,22.62,Valor Bajo,0.0,2026-04-15
XFC-00232,2.26,1.98,2.62,0,50.0,16.35,Valor Bajo,0.0,2026-04-15
XFC-00233,23.4,19.69,24.0,0,87.0,39.49,Valor Medio,3332.0,2026-04-15
XFC-00234,1.84,0.07,1.25,0,50.0,15.66,Valor Bajo,0.0,2026-04-15
XFC-00235,0.62,0.55,1.38,0,50.0,15.47,Valor Bajo,0.0,2026-04-15
XFC-00236,0.97,0.81,3.38,0,50.0,15.91,Valor Bajo,0.0,2026-04-15
XFC-00237,0.28,0.0,0.0,0,50.0,15.07,Valor Bajo,0.0,2026-04-15
XFC-00238,3.15,2.52,5.62,0,50.0,17.13,Valor Bajo,0.0,2026-04-15
XFC-00239,3.57,3.2,3.75,50,50.0,22.1,Valor Bajo,0.0,2026-04-15
XFC-00240,3.13,2.68,4.5,25,50.0,19.49,Valor Bajo,0.0,2026-04-15
XFC-00241,0.24,0.0,0.0,0,50.0,15.06,Valor Bajo,0.0,2026-04-15
XFC-00242,1.75,1.55,2.75,75,50.0,23.66,Valor Bajo,0.0,2026-04-15
XFC-00243,0.07,0.0,0.0,0,50.0,15.02,Valor Bajo,0.0,2026-04-15
XFC-00244,9.21,10.29,13.88,50,81.1,35.77,Valor Medio,2491.0,2026-04-15
XFC-00245,2.82,2.1,9.88,0,50.0,17.61,Valor Bajo,0.0,2026-04-15
XFC-00246,3.16,1.81,8.62,0,50.0,17.44,Valor Bajo,0.0,2026-04-15
XFC-00247,19.72,16.31,44.38,75,73.61,44.43,Valor Medio,2018.0,2026-04-15
XFC-00248,2.78,2.43,5.12,0,50.0,16.95,Valor Bajo,0.0,2026-04-15
XFC-00249,1.94,1.63,4.5,75,50.0,23.99,Valor Bajo,0.0,2026-04-15
XFC-00250,0.7,0.57,3.88,0,50.0,15.87,Valor Bajo,0.0,2026-04-15
XFC-00251,1.48,1.29,3.12,0,50.0,16.1,Valor Bajo,0.0,2026-04-15
XFC-00252,0.25,0.27,0.38,0,50.0,15.17,Valor Bajo,0.0,2026-04-15
XFC-00253,4.79,4.03,12.0,0,50.0,18.8,Valor Bajo,0.0,2026-04-15
XFC-00254,16.01,9.71,17.38,75,80.13,40.09,Valor Medio,1507.0,2026-04-15
XFC-00255,19.64,17.99,23.5,0,79.04,35.74,Valor Medio,3969.0,2026-04-15
XFC-00256,0.05,0.0,0.0,25,50.0,17.51,Valor Bajo,0.0,2026-04-15
XFC-00257,2.34,0.0,0.0,75,0.0,8.09,En Riesgo,157.0,2026-04-15
XFC-00258,71.29,68.5,40.25,0,63.65,56.66,Alto Valor,2324.0,2026-04-15
XFC-00259,4.23,3.53,6.62,0,50.0,17.76,Valor Bajo,0.0,2026-04-15
XFC-00260,0.6,0.2,3.62,0,50.0,15.73,Valor Bajo,0.0,2026-04-15
XFC-00261,0.5,0.45,1.25,0,50.0,15.4,Valor Bajo,0.0,2026-04-15
XFC-00262,40.86,40.28,26.88,0,65.96,42.09,Valor Medio,1572.0,2026-04-15
XFC-00263,0.23,0.24,0.62,50,50.0,20.2,Valor Bajo,0.0,2026-04-15
XFC-00264,2.57,2.31,6.62,25,50.0,19.6,Valor Bajo,0.0,2026-04-15
XFC-00265,2.71,2.07,8.0,25,50.0,19.79,Valor Bajo,0.0,2026-04-15
XFC-00266,34.33,28.75,45.62,50,73.4,48.2,Valor Medio,1818.0,2026-04-15
XFC-00267,1.2,0.1,1.0,50,50.0,20.47,Valor Bajo,0.0,2026-04-15
XFC-00268,1.41,1.22,2.5,0,50.0,15.97,Valor Bajo,0.0,2026-04-15
XFC-00269,11.88,8.05,13.63,0,50.0,21.62,Valor Bajo,0.0,2026-04-15
XFC-00270,28.03,25.46,32.0,50,70.54,43.06,Valor Medio,1631.0,2026-04-15
XFC-00271,0.13,0.0,0.0,0,50.0,15.03,Valor Bajo,0.0,2026-04-15
XFC-00272,46.77,48.74,34.12,0,72.98,48.45,Valor Medio,2398.0,2026-04-15
XFC-00273,27.98,25.73,27.0,50,67.88,41.56,Valor Medio,1403.0,2026-04-15
XFC-00274,0.08,0.1,1.12,0,50.0,15.21,Valor Bajo,0.0,2026-04-15
XFC-00275,67.76,60.94,59.38,0,81.81,62.58,Alto Valor,6753.0,2026-04-15
XFC-00276,1.77,1.17,2.5,0,50.0,16.05,Valor Bajo,0.0,2026-04-15
XFC-00277,1.37,1.16,2.25,0,50.0,15.91,Valor Bajo,0.0,2026-04-15
XFC-00278,12.05,10.31,12.12,50,50.0,26.89,Valor Bajo,0.0,2026-04-15
XFC-00279,5.6,4.07,8.75,0,50.0,18.53,Valor Bajo,0.0,2026-04-15
XFC-00280,3.52,2.18,5.38,0,50.0,17.12,Valor Bajo,0.0,2026-04-15
XFC-00281,5.29,4.93,6.25,25,50.0,20.75,Valor Bajo,0.0,2026-04-15
XFC-00282,5.56,4.43,10.5,0,50.0,18.85,Valor Bajo,0.0,2026-04-15
XFC-00283,25.96,25.85,22.12,0,70.29,36.06,Valor Medio,2174.0,2026-04-15
XFC-00284,2.55,2.23,5.5,50,50.0,21.91,Valor Bajo,0.0,2026-04-15
XFC-00285,1.21,1.01,3.88,25,50.0,18.59,Valor Bajo,0.0,2026-04-15
XFC-00286,4.48,3.76,5.62,100,50.0,27.72,Valor Bajo,0.0,2026-04-15
XFC-00287,0.04,0.0,0.0,25,50.0,17.51,Valor Bajo,0.0,2026-04-15
XFC-00288,25.92,24.16,29.75,50,78.4,44.29,Valor Medio,1832.0,2026-04-15
XFC-00289,0.96,0.16,2.5,0,50.0,15.65,Valor Bajo,0.0,2026-04-15
